run,train_start,train_end,test_start,test_end,train_rows,test_rows,train_rows_internal_air_temp_c,test_rows_internal_air_temp_c,mae_internal_air_temp_c,rmse_internal_air_temp_c,r2_internal_air_temp_c,train_rows_ET0,test_rows_ET0,mae_ET0,rmse_ET0,r2_ET0,train_rows_internal_rh_pct,test_rows_internal_rh_pct,mae_internal_rh_pct,rmse_internal_rh_pct,r2_internal_rh_pct,train_rows_internal_radiation,test_rows_internal_radiation,mae_internal_radiation,rmse_internal_radiation,r2_internal_radiation,train_rows_soil_temp_C,test_rows_soil_temp_C,mae_soil_temp_C,rmse_soil_temp_C,r2_soil_temp_C
20,2025-05-29 01:00:00,2025-08-07 00:50:00,2025-08-07 01:00:00,2025-08-10 00:50:00,10080,432,10069,432,0.268222264641222,0.40254156952222137,0.985448358476355,10069,432,0.0025967443919427866,0.004810709127334071,0.9847532968724082,10069,432,1.3236037957686915,1.6372495108524947,0.9739689420429796,10069,432,20.4510262923678,39.11187180301694,0.9763727216426783,0,0,,,
21,2025-05-29 01:00:00,2025-08-10 00:50:00,2025-08-10 01:00:00,2025-08-13 00:50:00,10512,432,10501,432,0.6403184870972803,0.9070277201143234,0.9395446543857233,10501,432,0.00507318114109599,0.00913598484133297,0.9497276892962401,10501,432,4.564607842736528,7.197908124707937,0.7411787403526362,10501,432,32.88698950359169,62.89968902754758,0.9351495845282187,0,330,,,
22,2025-05-29 01:00:00,2025-08-13 00:50:00,2025-08-13 01:00:00,2025-08-16 00:50:00,10944,432,10933,432,0.6900561363020697,0.9942946199284022,0.9460954741973737,10933,432,0.004420403047158512,0.007456866821852244,0.972764840854356,10933,432,3.975537670513503,5.1821226930370985,0.8708974757105941,10933,432,29.461409602261863,54.406842550729486,0.9597838282021526,330,432,0.6646187277033915,0.9709855155344591,0.9528991264021774
23,2025-05-29 01:00:00,2025-08-16 00:50:00,2025-08-16 01:00:00,2025-08-19 00:50:00,11376,432,11365,432,1.0514348372455575,1.4116239967362127,0.8195559550908929,11365,432,0.004972965525012522,0.008280246694523156,0.964322080444504,11365,432,4.283516400524565,5.1717804361718605,0.741890433843087,11365,432,31.15778730517247,61.325280241461975,0.9563298429758743,762,277,1.2951933170132457,1.5697590279846252,0.8713495996941083
24,2025-05-29 01:00:00,2025-08-19 00:50:00,2025-08-19 01:00:00,2025-08-22 00:50:00,11808,432,11797,432,0.3692123783766893,0.4771618507256704,0.9855773264995462,11797,432,0.004153974430829564,0.008694022343000546,0.96018437537449,11797,432,1.9215941778333485,2.4617628238715765,0.9488670858083825,11797,432,27.92172718106324,64.09139026093551,0.9492145630369988,1039,101,1.2676803986069798,1.5783462446406333,0.9166908957392306
25,2025-05-29 01:00:00,2025-08-22 00:50:00,2025-08-22 01:00:00,2025-08-25 00:50:00,12240,432,12229,432,0.3454398953999942,0.4495009178479136,0.9861339663083077,12229,432,0.003302312614541495,0.005706625778176796,0.9800932667488462,12229,432,2.986314865706967,3.737056645116256,0.8602875256895312,12229,432,21.771977022685995,43.71370411558658,0.9746983695678504,1140,299,0.7225960853185864,1.0017440299989007,0.9488037914452322
26,2025-05-29 01:00:00,2025-08-25 00:50:00,2025-08-25 01:00:00,2025-08-28 07:00:00,12672,432,12661,432,0.5268426668357369,0.8033814892125773,0.9282269747946691,12661,432,0.005312296183271959,0.010552937636278265,0.9080633569943397,12661,432,3.5885160126486113,4.727109479736228,0.6646865026857713,12661,432,37.148959937640015,77.85515686850435,0.8887624009781971,1439,432,0.9130290092943955,1.3618183623094393,0.8476044408087029
27,2025-05-29 01:00:00,2025-08-28 07:00:00,2025-08-28 07:10:00,2025-08-31 10:10:00,13104,432,13093,432,0.4716867501453009,0.6000719307832674,0.979993116500166,13093,432,0.004137388287535974,0.007032379924203982,0.9645141902355852,13093,432,3.6407704601556694,4.595704683929751,0.7064746173854914,13093,432,22.768553788088546,45.90101335967575,0.9704542971284026,1871,419,1.1115863610508088,1.3805448866690129,0.9123513084468242
28,2025-05-29 01:00:00,2025-08-31 10:10:00,2025-08-31 10:20:00,2025-09-03 10:10:00,13536,432,13525,432,0.381418136473168,0.4801298655798585,0.9829627781257696,13525,432,0.004170423860024348,0.007244119766924467,0.9679319734409039,13525,432,4.916935496740132,6.058939849838588,0.6026506873960067,13525,432,27.04861827036143,56.973809901434535,0.9530793264946225,2290,0,,,
29,2025-05-29 01:00:00,2025-09-03 10:10:00,2025-09-03 10:20:00,2025-09-06 10:10:00,13968,432,13957,432,0.43218444638030207,0.555484932045339,0.9805749373620894,13957,432,0.00378445939107912,0.007506609046680451,0.9614435691511566,13957,432,2.897873360623427,3.624726948830935,0.8651088106694874,13957,432,24.077727997967276,54.752290414914135,0.9530685842305789,2290,300,0.5301497066157018,0.6945303499710971,0.9701838487727792
30,2025-05-29 01:00:00,2025-09-06 10:10:00,2025-09-06 10:20:00,2025-09-09 10:10:00,14400,432,14389,432,0.5898837109555978,0.7698300683321104,0.9523108022078193,14389,432,0.0035748265436825752,0.006862211951212127,0.964428421481827,14389,432,2.932492248253011,3.717170207475761,0.8013535683658742,14389,432,23.207216784027974,49.96870630966968,0.9586383053050439,2590,432,0.48874161284038536,0.7267668982882086,0.9621853234001952
31,2025-05-29 01:00:00,2025-09-09 10:10:00,2025-09-09 10:20:00,2025-09-12 21:10:00,14832,432,14821,432,0.7039253738750337,0.9330959157424829,0.9478872068315868,14821,432,0.004223413272559636,0.006659052664298569,0.9690886740894484,14821,432,4.1542856451733075,6.438437127977775,0.6618756845648763,14821,432,23.480826036031676,47.55484842308701,0.9658141841233668,3022,238,0.9009334416611157,1.2631165269460485,0.9278462530249982
32,2025-05-29 01:00:00,2025-09-12 21:10:00,2025-09-12 21:20:00,2025-09-15 21:10:00,15264,432,15253,432,0.7772177737017835,0.9437276619128695,0.9543432487253286,15253,432,0.004178764662845937,0.00655821868303009,0.9610878716941337,15253,432,4.731934957109939,5.727065457146303,0.7844470693448985,15253,432,21.126425924015454,43.669545520056126,0.9627202939289441,3260,432,0.7738420896980929,1.084560492768464,0.9437261386960483
33,2025-05-29 01:00:00,2025-09-15 21:10:00,2025-09-15 21:20:00,2025-09-19 00:20:00,15696,432,15685,432,0.7517644569651962,0.927044859380461,0.9419542617504453,15685,432,0.005932127290481037,0.010122575082506703,0.8802493023962761,15685,432,6.380138824589069,7.991285636898024,0.5539215021943344,15685,432,31.195378763270792,63.71001716895397,0.896103146001523,3692,432,0.755721579062117,1.4534098411381364,0.876493256887871
