run,train_start,train_end,test_start,test_end,train_rows,test_rows,mae_internal_air_temp_c,rmse_internal_air_temp_c,r2_internal_air_temp_c,mae_internal_radiation,rmse_internal_radiation,r2_internal_radiation,mae_ET0,rmse_ET0,r2_ET0,mae_internal_rh_pct,rmse_internal_rh_pct,r2_internal_rh_pct
10,2025-05-29 01:00:00,2025-06-18 01:00:00,2025-06-18 01:10:00,2025-06-19 01:00:00,2880,144,0.351050840364126,0.45231528870714355,0.9888415728479183,17.379457117856795,29.224047073122414,0.9870489777079592,0.003305226075947699,0.004736814253777213,0.9867275279324489,1.6433052260955976,2.3227172705155787,0.9455016009700189
11,2025-05-29 01:00:00,2025-06-19 01:00:00,2025-06-19 01:10:00,2025-06-20 01:00:00,3024,144,0.32875277275525483,0.4487398233442856,0.9903792910727465,18.32284706088487,31.19274676467022,0.985953580178425,0.0020798412525840893,0.003129931752602693,0.9939515390937856,2.4370377315860563,3.2600208185353563,0.8372085375715549
12,2025-05-29 01:00:00,2025-06-20 01:00:00,2025-06-20 01:10:00,2025-06-21 01:00:00,3168,144,0.3299195532818115,0.4005814753317523,0.9906509778001955,12.324880714951428,21.180965831593298,0.9921152024968249,0.0020412713756871553,0.002781522589425405,0.9953485846915144,2.0504495928232505,3.1349749501633566,0.8945557275034092
13,2025-05-29 01:00:00,2025-06-21 01:00:00,2025-06-21 01:10:00,2025-06-22 01:00:00,3312,144,0.31676824857647956,0.41988164361018737,0.9897253021905353,12.336624222617253,21.988541191522106,0.9923195173918785,0.0022435163448323607,0.0037241961549392202,0.9912418905314052,2.076045480030486,3.196192252720569,0.8894378349737796
14,2025-05-29 01:00:00,2025-06-22 01:00:00,2025-06-22 01:10:00,2025-06-23 01:00:00,3456,144,0.3715071627556925,0.5011755289568782,0.9847216602184553,16.446974352373267,28.312597401597568,0.9859563258981735,0.00208999758784515,0.0033012052100598074,0.9927750853997266,1.7381773293951295,2.4522457279238727,0.9288458957455198
15,2025-05-29 01:00:00,2025-06-23 01:00:00,2025-06-23 01:10:00,2025-06-24 01:00:00,3600,144,0.44299776161739746,0.607755628892331,0.9643037356937445,19.62711983318078,32.37178258479138,0.9823020752848203,0.0025824449138944524,0.0037451776233982685,0.9912064755068208,1.9588634331884454,2.4181390404131857,0.9567781753439542
16,2025-05-29 01:00:00,2025-06-24 01:00:00,2025-06-24 01:10:00,2025-06-25 01:00:00,3744,144,0.340301234647617,0.4399298356160081,0.9849280128830752,24.333669460637566,44.07383923608941,0.9555271640023985,0.003127869374013225,0.005295772216880146,0.9794688627394008,1.443111748576115,1.876229350948173,0.9690300330707367
17,2025-05-29 01:00:00,2025-06-25 01:00:00,2025-06-25 01:10:00,2025-06-26 01:00:00,3888,144,0.24036394637213399,0.3099933005006916,0.9939157965962119,14.247428811534267,25.442649873986895,0.9895068759425699,0.0024990148346082054,0.003954359520006509,0.9907747942723695,1.0951263743402977,1.409880928388937,0.981549022567974
18,2025-05-29 01:00:00,2025-06-26 01:00:00,2025-06-26 01:10:00,2025-06-27 01:00:00,4032,144,0.2802831410873743,0.37895105832106696,0.9929736851308134,11.752206967548336,20.548165952429038,0.9932963471648923,0.0028854655654690347,0.0042753844533386905,0.9890827659113086,1.8511405788020805,2.406765325262131,0.9368025328915741
19,2025-05-29 01:00:00,2025-06-27 01:00:00,2025-06-27 01:10:00,2025-06-28 01:00:00,4176,144,0.4682987676545242,0.6084803190362922,0.9821633123751469,43.34584258259005,85.0420351912139,0.9191422851040484,0.005620998056856133,0.008225636002723722,0.9662680923176296,2.923118073047259,3.785321128322343,0.8707888300242697
