t0,t1,gap_hours,ph0,ec0,ph1_true,ec1_true,ph1_pred,ec1_pred,dph_true,dec_true,dph_pred,dec_pred,train_intervals,gap_bin,ph_abs_error,ec_abs_error,ph_signed_error,ec_signed_error
2025-08-26 16:30:00,2025-08-27 11:40:00,19.166666666666668,7.36,0.314,7.76,0.181,7.112782175139675,0.08894689977873985,0.39999999999999947,-0.133,-0.2472178248603247,-0.22505310022126016,45,"(18.0, 90.0]",0.6472178248603244,0.09205310022126015,-0.6472178248603244,-0.09205310022126015
2025-08-27 11:40:00,2025-08-27 14:10:00,2.5,7.76,0.181,8.93,0.294,7.8051881325156325,0.2741884051803752,1.17,0.11299999999999999,0.045188132515632536,0.09318840518037518,46,"(2.0, 4.0]",1.1248118674843672,0.0198115948196248,-1.1248118674843672,-0.0198115948196248
2025-08-27 14:10:00,2025-08-28 13:30:00,23.333333333333332,8.93,0.294,7.62,0.358,8.521209470899471,0.13416459219798718,-1.3099999999999996,0.064,-0.408790529100529,-0.1598354078020128,47,"(18.0, 90.0]",0.9012094708994711,0.2238354078020128,0.9012094708994711,-0.2238354078020128
2025-08-28 13:30:00,2025-08-28 15:00:00,1.5,7.62,0.358,10.29,0.174,7.549982093554593,0.17576848734728232,2.669999999999999,-0.184,-0.07001790644540659,-0.18223151265271767,48,"(0.332, 2.0]",2.7400179064454058,0.001768487347282327,-2.7400179064454058,0.001768487347282327
2025-08-28 15:00:00,2025-08-31 08:20:00,65.33333333333333,10.29,0.174,7.73,0.18,9.834826078643578,-0.08265565635827149,-2.5599999999999987,0.006000000000000005,-0.45517392135642126,-0.2566556563582715,49,"(18.0, 90.0]",2.104826078643578,0.2626556563582715,2.104826078643578,-0.2626556563582715
2025-08-31 08:20:00,2025-08-31 12:30:00,4.166666666666667,7.73,0.18,10.49,0.167,8.145415494505494,0.3353804981697931,2.76,-0.012999999999999984,0.4154154945054944,0.15538049816979313,50,"(4.0, 18.0]",2.344584505494506,0.16838049816979309,-2.344584505494506,0.16838049816979309
2025-08-31 12:30:00,2025-09-01 08:30:00,20.0,10.49,0.167,9.76,0.292,9.821179083694084,0.008015179410589407,-0.7300000000000004,0.12499999999999997,-0.6688209163059159,-0.1589848205894106,51,"(18.0, 90.0]",0.06117908369408376,0.28398482058941055,0.06117908369408376,-0.28398482058941055
2025-09-01 08:30:00,2025-09-01 12:30:00,4.0,9.76,0.292,10.38,0.306,10.43816485098235,0.403329529949495,0.620000000000001,0.014000000000000012,0.6781648509823509,0.11132952994949505,52,"(2.0, 4.0]",0.05816485098234914,0.09732952994949501,0.05816485098234914,0.09732952994949501
2025-09-01 12:30:00,2025-09-02 08:30:00,20.0,10.38,0.306,8.0,0.168,9.747775194805195,0.16167099562770548,-2.380000000000001,-0.13799999999999998,-0.6322248051948056,-0.1443290043722945,53,"(18.0, 90.0]",1.747775194805195,0.006329004372294528,1.747775194805195,-0.006329004372294528
2025-09-02 08:30:00,2025-09-02 15:00:00,6.5,8.0,0.168,10.34,0.299,8.94458985921486,0.5059414929888633,2.34,0.13099999999999998,0.9445898592148594,0.3379414929888632,54,"(4.0, 18.0]",1.39541014078514,0.20694149298886327,-1.39541014078514,0.20694149298886327
2025-09-02 15:00:00,2025-09-03 09:00:00,18.0,10.34,0.299,8.87,0.301,9.371766594516595,0.07612025874939862,-1.4700000000000006,0.0020000000000000018,-0.9682334054834043,-0.22287974125060137,55,"(4.0, 18.0]",0.5017665945165959,0.22487974125060137,0.5017665945165959,-0.22487974125060137
2025-09-03 09:00:00,2025-09-03 15:20:00,6.333333333333333,8.87,0.301,10.32,0.308,9.872336854256854,0.5778269754549152,1.450000000000001,0.007000000000000006,1.0023368542568543,0.2768269754549152,56,"(4.0, 18.0]",0.4476631457431459,0.26982697545491524,-0.4476631457431459,0.26982697545491524
2025-09-03 15:20:00,2025-09-07 08:50:00,89.5,10.32,0.308,8.25,0.334,9.326371647611648,0.20443941429033927,-2.0700000000000003,0.026000000000000023,-0.993628352388353,-0.10356058570966073,57,"(18.0, 90.0]",1.0763716476116478,0.12956058570966075,1.0763716476116478,-0.12956058570966075
