target,feature,importance_gain,importance_share
ET0,vpd_ext_min_1h,0.14937797309462875,0.0005493514416237228
ET0,rad_integral_1h,0.4133427723929346,0.0015201066341619133
ET0,rad_peak_intensity,13.242281770403427,0.04869972747822915
ET0,rad_slope_30m,0.14702022486744903,0.0005406806024045666
ET0,rad_slope_1h,1.4086621417866576,0.0051804865357293235
ET0,minutes_since_sunrise,2.3697694141868486,0.008715048256643945
ET0,minutes_since_sunset,0.34059737828132386,0.0012525786559814663
internal_rh_pct,station_pressure_hpa,379762.0518130064,0.020554173591543504
internal_rh_pct,rel_humidity_ext,381389.4473261833,0.02064225445618031
internal_rh_pct,temp_c_ext,99937.37946987152,0.005408992910432089
internal_rh_pct,temp_max_c_ext,208499.78962564468,0.01128480544411001
internal_rh_pct,temp_min_c_ext,107018.15493249893,0.005792231539270256
internal_rh_pct,temp_ground_c_ext,5956260.091897607,0.32237555938192697
internal_rh_pct,wind_dir_deg,127385.4215297699,0.006894585845676011
internal_rh_pct,gust_dir_deg,72417.34199428558,0.00391950330814423
internal_rh_pct,wind_speed_max_1m_ms,35535.60507166386,0.001923322753910024
internal_rh_pct,wind_speed_max_10m_ms,58869.289278030396,0.003186230918162493
internal_rh_pct,gust_speed_ms,66377.83700037003,0.0035926222165256847
internal_rh_pct,wind_dir_std_deg,35542.45783996582,0.0019236936519199455
internal_rh_pct,vpd_ext,520181.4555102587,0.028154208364463647
internal_rh_pct,abs_humidity_ext,234760.34405052662,0.012706127010291607
internal_rh_pct,dew_point_ext,131926.09865558147,0.00714034464495972
internal_rh_pct,diffuse_rad_wm2,217380.99650859833,0.011765490302176149
internal_rh_pct,global_rad_wm2,503577.9596750736,0.027255563715811643
internal_rh_pct,direct_rad_wm2,33587.7258374691,0.0018178960854899893
internal_rh_pct,hour_of_day,139314.72099900246,0.007540245123493606
internal_rh_pct,day_of_year,821834.80070889,0.0444808402437738
internal_rh_pct,global_rad_wm2_med6,577003.5825146437,0.031229639036678223
internal_rh_pct,diffuse_rad_wm2_med6,872102.9660973549,0.047201545465873455
internal_rh_pct,temp_c_ext_med6,254848.8016459942,0.013793391107987479
internal_rh_pct,rel_humidity_ext_med6,127632.97666549683,0.0069079844757100484
internal_rh_pct,dewpoint_gradient,35664.184099435806,0.0019302819422871657
internal_rh_pct,vpd_ext_rolling_mean_30min,384929.2051497698,0.020833839677585862
internal_rh_pct,vpd_ext_min_1h,152956.18019676208,0.008278573029228568
internal_rh_pct,rad_integral_1h,1678559.7024419308,0.09085006609546506
internal_rh_pct,rad_peak_intensity,3290110.131583214,0.17807333422865534
internal_rh_pct,rad_slope_30m,31817.798100948334,0.0017221008322063657
internal_rh_pct,rad_slope_1h,76351.70415151119,0.0041324460241569235
internal_rh_pct,minutes_since_sunrise,439545.5013308525,0.02378988235555699
