timestamp,ET0,internal_air_temp_c,internal_rh_%,internal_radiation,irrigation_ml_current,fertilization_flag,fertilization_type_a_flag,fertilization_type_b_flag,ph,ec_ms,soil_temp_pred,canopy_cover,days_after_planting,Ammonium Nitrate [mg] -NH4NO3,Monopotassium Phosphate[mg] -KH2PO4,Potassium Chloride[mg] - KCL,Phosphoric acid[mg]-H3PO4,Kortin [mg],Gypsum - CaSO4*2H2O [mg]
2025-09-02 09:20:00,0.0707706582569816,33.03309736681059,59.58073756478714,389.79382687904723,0.0,0.0,0.0,0.0,,,31.483391952584782,0.89199256,96,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02 09:30:00,0.07815308355359388,33.28929403733115,59.81780866510766,443.2073378271595,0.0,0.0,0.0,0.0,,,32.7615882653235,0.89199256,96,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02 09:40:00,0.0772314104097855,33.25898961509161,61.31670727692254,454.89659673220933,0.0,0.0,0.0,0.0,,,32.8727437535436,0.89199256,96,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02 09:50:00,0.08012072741779815,33.281572099310964,58.928643145217706,454.36433736565215,0.0,0.0,0.0,0.0,,,32.63066931008087,0.89199256,96,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02 10:00:00,0.07520909628876604,33.090071614319896,60.26612282154985,436.91876861899897,666.6666667,0.0,0.0,0.0,,,32.313794871421756,0.89199256,96,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02 10:10:00,0.0701961954660481,33.297758398095354,57.73063955211344,358.79278949295525,0.0,0.0,0.0,0.0,,,33.1684564416722,0.89199256,96,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02 10:20:00,0.07123395935092182,33.215937247067146,60.94191460120356,414.0108455644309,0.0,0.0,0.0,0.0,,,33.506937841269654,0.89199256,96,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02 10:30:00,0.07896063460586801,33.44736953481501,60.2480724179286,431.52355090195385,0.0,0.0,0.0,0.0,,,33.21362735173286,0.89199256,96,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02 10:40:00,0.08546266037463333,33.660853759285615,60.376450981445046,490.66404903499523,0.0,0.0,0.0,0.0,,,33.629146409511335,0.89199256,96,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02 10:50:00,0.08819949379922933,33.85851834501543,60.26852407388227,513.6335709832958,0.0,0.0,0.0,0.0,,,34.11582895625482,0.89199256,96,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02 11:00:00,0.09010497833600954,33.820747297655785,57.30218651384919,469.2999001178303,0.0,0.0,0.0,0.0,,,33.69777045566934,0.89199256,96,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02 11:10:00,0.08598684643373575,33.56154616115819,57.25230223344537,491.18802746592524,0.0,0.0,0.0,0.0,,,33.555168533384176,0.89199256,96,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02 11:20:00,0.10290814151257789,33.46915404779871,60.04121370948019,628.6331868698694,0.0,0.0,0.0,0.0,,,33.72375787534222,0.89199256,96,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02 11:30:00,0.10746529654459981,34.04229231100496,58.07973244520444,631.5250876376524,0.0,0.0,0.0,0.0,,,33.475686991526345,0.89199256,96,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02 11:40:00,0.11516097031388507,34.14497500813526,57.508395041563695,683.9579069731873,0.0,0.0,0.0,0.0,,,33.825903854719826,0.89199256,96,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-02 11:50:00,0.11953883830270355,34.52216892840571,54.57405200218873,713.6750518409274,0.0,0.0,0.0,0.0,,,33.618312352452506,0.89199256,96,0.0,0.0,0.0,0.0,0.0,0.0
