timestamp,gap_hours,ph_true,ph_pred,ph_naive,ec_true,ec_pred,ec_naive,n_train,specialist_active,specialist_type
2025-09-08 09:30:00,18.0,8.8,8.716272840499878,10.01,0.326,0.1844779108796157,0.1548,77,False,base
2025-09-08 13:50:00,4.333333333333333,9.76,9.032260137796403,8.8,0.156,0.21064986745318648,0.326,79,False,base
2025-09-09 08:30:00,18.666666666666668,7.9,8.323272356987,9.76,0.348,0.20483540493526545,0.156,80,False,base
2025-09-09 14:10:00,5.666666666666667,9.9,9.80980589389801,7.9,0.3,0.2567613922063136,0.348,82,False,base
2025-09-09 15:40:00,1.5,9.88,10.425915622711182,9.9,0.347,0.3066209038195965,0.3,83,False,base
2025-09-09 18:40:00,3.0,9.33,9.261393849849702,9.88,0.161,0.23572873009156645,0.347,85,False,base
2025-09-10 07:50:00,13.166666666666666,7.87,7.673126773834229,9.33,0.342,0.27322936371858003,0.161,88,False,base
2025-09-10 11:30:00,3.6666666666666665,9.5,9.00452184200287,7.87,0.292,0.23473471892729353,0.342,92,False,base
2025-09-10 13:50:00,2.3333333333333335,10.16,10.02071750164032,9.5,0.303,0.359548460727804,0.292,95,False,base
2025-09-10 15:50:00,2.0,10.22,10.346733692884445,10.16,0.306,0.22928338995227174,0.303,99,False,base
2025-09-11 07:50:00,16.0,7.81,8.2706671667099,10.22,0.336,0.2763850665249095,0.306,104,False,base
2025-09-11 11:20:00,3.5,9.24,9.35319417476654,7.81,0.17,0.3272436400462746,0.336,108,False,base
2025-09-11 13:30:00,2.1666666666666665,9.39,9.904308369159699,9.24,0.348,0.24353427562329,0.17,112,False,base
2025-09-11 14:10:00,0.6666666666666666,10.06,9.757014169692994,9.39,0.325,0.28659584208106015,0.348,116,False,base
2025-09-11 17:20:00,3.1666666666666665,9.56,9.34807419538498,10.06,0.288,0.2848706675371055,0.325,120,False,base
2025-09-11 18:10:00,0.8333333333333334,9.05,9.333212119936944,9.56,0.349,0.3346466527307906,0.288,124,False,base
2025-09-14 08:30:00,62.333333333333336,8.48,8.439486491680146,9.05,0.177,0.29678059491597203,0.349,128,False,base
2025-09-14 11:30:00,3.0,9.26,9.250243704319,8.48,0.286,0.20190269566737432,0.177,129,False,base
2025-09-14 12:20:00,0.8333333333333334,9.65,9.632914969921112,9.26,0.316,0.28708513904292426,0.286,130,False,base
2025-09-14 15:10:00,2.8333333333333335,9.95,10.005811595916748,9.65,0.156,0.2779560339045268,0.316,131,False,base
2025-09-14 18:00:00,2.8333333333333335,9.36,9.178673040866851,9.95,0.307,0.24489817369254713,0.156,133,False,base
2025-09-15 08:10:00,14.166666666666666,7.92,7.779702768325805,9.36,0.198,0.26098137697449225,0.307,136,False,base
2025-09-15 12:00:00,3.8333333333333335,9.45,9.230792088508606,7.92,0.321,0.3034235418327664,0.198,140,False,base
2025-09-15 14:10:00,2.1666666666666665,10.13,9.987573099136352,9.45,0.332,0.24746340112148552,0.321,145,False,base
2025-09-15 15:30:00,1.3333333333333333,10.2,10.227169302403928,10.13,0.334,0.33817990131466774,0.332,150,False,base
2025-09-15 17:40:00,2.1666666666666665,9.09,9.467927885055541,10.2,0.383,0.3194829360626559,0.334,154,False,base
2025-09-16 06:40:00,13.0,7.66,8.122259106636047,9.09,0.358,0.3572445539874605,0.383,158,False,base
2025-09-16 08:50:00,2.1666666666666665,8.14,8.109461549520493,7.66,0.183,0.41913093413430674,0.358,162,False,base
2025-09-16 10:00:00,1.1666666666666667,7.94,8.840732290744782,8.14,0.414,0.3136831479348676,0.183,167,False,base
2025-09-16 12:10:00,2.1666666666666665,9.5,8.530864121913911,7.94,0.302,0.37509475962535127,0.414,172,False,base
2025-09-16 13:50:00,1.6666666666666667,9.88,9.790364891290665,9.5,0.309,0.3865110062368252,0.302,177,False,base
2025-09-17 08:50:00,19.0,8.3,8.332693223953248,9.88,0.215,0.2350694178611387,0.309,182,False,base
2025-09-17 11:50:00,3.0,8.88,9.196044969558717,8.3,0.128,0.36625667991743494,0.215,186,False,base
2025-09-17 13:30:00,1.6666666666666667,9.78,9.258818958997727,8.88,0.333,0.22509807431107637,0.128,190,False,base
2025-09-17 15:20:00,1.8333333333333333,9.85,10.03960013270378,9.78,0.221,0.3259215272912985,0.333,193,False,base
2025-09-18 07:10:00,15.833333333333334,7.76,7.817453479766845,9.85,0.47,0.2947431351652348,0.221,196,False,base
2025-09-18 09:40:00,2.5,6.97,6.761177596099232,7.76,0.795,0.5274252465631518,0.47,199,True,huber
2025-09-18 10:30:00,0.8333333333333334,6.71,7.117713705897331,6.97,0.968,0.6513485385354773,0.795,203,False,base
