shock_kind,union_blend,shock_blend,gmin,wf_union,wf_shock,ho_union,ho_shock,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae,sep21_ec_mae,min_wf,min_ho,ok_hold
huber,1.0,0.9,5.0,2,0,1,3,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9319230811325803,0.9545505675077285,0.3180827608099241,0.16216988797647863,0.6054752787096411,0.9481007862944115,0.9319230811325803,True
huber,1.0,0.7,2.0,2,0,0,4,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9482272313027039,0.9179636921639087,0.2955634333804847,0.20481727077143513,1.0319491066592057,0.9481007862944115,0.9179636921639087,True
huber,1.0,1.0,2.0,2,0,0,4,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9213866874652475,0.9113183249555913,0.3293802144152081,0.2110777667052644,1.0945540659974986,0.9481007862944115,0.9113183249555913,True
ridge,1.0,0.7,2.25,2,0,1,3,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9548756082422386,0.9030907921885672,0.27861809595549775,0.2218784446998657,1.2025608459435115,0.9481007862944115,0.9030907921885672,True
ridge,1.0,0.7,2.5,2,0,1,3,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9548756082422386,0.9030907921885672,0.27861809595549775,0.2218784446998657,1.2025608459435115,0.9481007862944115,0.9030907921885672,True
ridge,1.0,0.7,3.0,2,0,1,3,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9548756082422386,0.9030907921885672,0.27861809595549775,0.2218784446998657,1.2025608459435115,0.9481007862944115,0.9030907921885672,True
ridge,1.0,0.7,3.5,2,0,1,3,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9548756082422386,0.9030907921885672,0.27861809595549775,0.2218784446998657,1.2025608459435115,0.9481007862944115,0.9030907921885672,True
ridge,1.0,0.7,4.0,2,0,1,3,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9548756082422386,0.9030907921885672,0.27861809595549775,0.2218784446998657,1.2025608459435115,0.9481007862944115,0.9030907921885672,True
ridge,1.0,0.7,5.0,2,0,1,3,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9548756082422386,0.9030907921885672,0.27861809595549775,0.2218784446998657,1.2025608459435115,0.9481007862944115,0.9030907921885672,True
huber,1.0,1.0,2.25,2,0,1,3,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9205815026055999,0.9003843695513576,0.3317561875445747,0.22064269320154878,1.1902033309603426,0.9481007862944115,0.9003843695513576,True
