weight_mode,gate,ph_blend,ec_blend,wf_active,ho_active,n_train,n_spec,n_shock,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae,sep21_ec_mae,min_wf,min_ho,ok_hold
shock_multi20,gap2_or_short,0.8,1.15,2,4,256,188,12,0.9515206628524513,0.9757516484815837,0.2614148642816241,0.1298341534291635,0.9006373620959746,0.6643346115439723,0.36345917567820835,0.3080709912393158,2.0644863113380127,0.9515206628524513,0.6643346115439723,False
shock_multi20,general,0.8,1.0,2,4,256,188,12,0.9515206628524513,0.957207125943896,0.2614148642816241,0.1453592953754115,0.9006373620959746,0.6479453821191312,0.36345917567820835,0.32562438325544274,2.2400202314992814,0.9515206628524513,0.6479453821191312,False
shock_multi20,gap2_or_short,0.8,1.0,2,4,256,188,12,0.9515206628524513,0.957207125943896,0.2614148642816241,0.1453592953754115,0.9006373620959746,0.6479453821191312,0.36345917567820835,0.32562438325544274,2.2400202314992814,0.9515206628524513,0.6479453821191312,False
shock20,general,0.8,1.3,2,4,256,188,12,0.9511143331809042,0.979636822654423,0.26266687047534,0.12410406095199872,0.9011843025321862,0.6761695643203702,0.36295827363879923,0.316889576346845,2.1526721624133045,0.9511143331809042,0.6761695643203702,False
shock20,gap2_or_short,0.8,1.3,2,4,256,188,12,0.9511143331809042,0.979636822654423,0.26266687047534,0.12410406095199872,0.9011843025321862,0.6761695643203702,0.36295827363879923,0.316889576346845,2.1526721624133045,0.9511143331809042,0.6761695643203702,False
shock20,general,0.8,1.15,2,4,256,188,12,0.9511143331809042,0.976287497421732,0.26266687047534,0.12916650560210613,0.9011843025321862,0.6678516485363246,0.36295827363879923,0.3074885052243008,2.058661451187863,0.9511143331809042,0.6678516485363246,False
shock20,gap2_or_short,0.8,1.15,2,4,256,188,12,0.9511143331809042,0.976287497421732,0.26266687047534,0.12916650560210613,0.9011843025321862,0.6678516485363246,0.36295827363879923,0.3074885052243008,2.058661451187863,0.9511143331809042,0.6678516485363246,False
shock20,general,0.8,1.0,2,4,256,188,12,0.9511143331809042,0.9579964215946575,0.26266687047534,0.14490439071568315,0.9011843025321862,0.6507730461211012,0.36295827363879923,0.3250883933694742,2.234660332639597,0.9511143331809042,0.6507730461211012,False
shock20,gap2_or_short,0.8,1.0,2,4,256,188,12,0.9511143331809042,0.9579964215946575,0.26266687047534,0.14490439071568315,0.9011843025321862,0.6507730461211012,0.36295827363879923,0.3250883933694742,2.234660332639597,0.9511143331809042,0.6507730461211012,False
none,general,1.0,1.5,2,4,256,188,12,0.9505558835155431,0.9648187884494178,0.2621242018448865,0.141714322430415,0.9016021873506496,0.7945418929434914,0.3605466401153409,0.25874301249677256,1.5712065239125803,0.9505558835155431,0.7945418929434914,False
none,gap2_or_short,1.0,1.5,2,4,256,188,12,0.9505558835155431,0.9648187884494178,0.2621242018448865,0.141714322430415,0.9016021873506496,0.7945418929434914,0.3605466401153409,0.25874301249677256,1.5712065239125803,0.9505558835155431,0.7945418929434914,False
