experiment,n_features,mae,rmse,naive_mae,r2,aug22_mae,aug22_rmse,aug22_n,aug22_gain_vs_naive,sep21_pred,sep21_err,runtime_s,err_20250817_124000,err_20250819_173000,err_20250821_130000,err_20250820_120000,err_20250814_162000,err_20250821_150000
aug_washout25|shallow|base,25,0.19864580000749518,0.48752848885953826,0.24989794871794865,0.8282240062125585,0.4401206683291727,0.6282013931798003,11,0.20240842257991815,0.6560104997439702,3.5739895002560305,14.254109621047974,1.6681012009897647,0.58741000955596,0.5656914082771851,0.793888535141639,0.10689933132832863,0.21384351595383355
aug_competition25|deep_lowreg|base,25,0.2043199144513144,0.4929618094482172,0.24989794871794865,0.8243739142441262,0.4449507520067996,0.6057023688827652,11,0.1975783389022912,0.5924399307202888,3.6375600692797114,17.075711965560913,1.4900490740476504,0.5716651599223066,0.3323720233542926,0.9431672868182469,0.010833227365786069,0.41407697665353355
aug_event25|base|large_delta,25,0.19367425976154448,0.48414922150873874,0.24989794871794865,0.8305970582664949,0.4479283950008437,0.6034476498836426,11,0.19460069590824713,0.6043643280633192,3.6256356719366813,17.217799186706543,1.4573041719135613,0.7778598890642674,0.46621186210816234,0.7382218929733076,0.1159797760515513,0.1501287512616094
aug_competition25|deep_lowreg|aug_regime,25,0.20729244604335678,0.49618514928464663,0.24989794871794865,0.8220696653508073,0.4492500702303213,0.5977280993068391,11,0.1932790206787695,0.5641208139031452,3.665879186096855,17.634628534317017,1.5333279087455052,0.601737023493724,0.34645412479582527,0.7763777816492888,0.12097864038583861,0.4075476609246365
aug_delayed_flush25|shallow|large_delta,25,0.21318829177155854,0.4909792233719824,0.24989794871794865,0.8257837340124549,0.4517380125097668,0.6044587943731088,11,0.19079107839932402,0.6494984436335239,3.5805015563664764,14.472595453262329,1.495548568942366,0.7279719100618673,0.5606084194301171,0.7280471241684071,0.09632222017787795,0.18972044864733217
aug_delayed_flush25|deep_lowreg|aug_regime,25,0.20382425916372168,0.4968925883564493,0.24989794871794865,0.8215619330883143,0.4542740061110603,0.6126340194282854,11,0.18825508479803055,0.5667079096895956,3.6632920903104047,18.261476278305054,1.5372373958068708,0.6622447076020812,0.2875281126705018,0.8678751458729753,0.01723404266808659,0.4095106710051408
aug_washout25|deep_lowreg|aug_regime,25,0.20157467603737098,0.4980843445103694,0.24989794871794865,0.8207049684777823,0.4549342620520624,0.6145818967936965,11,0.18759482885702844,0.5603795632362101,3.6696204367637906,17.84268546104431,1.5380248477337937,0.6556413700943979,0.31236120606081874,0.8728343549154608,0.003945274692369161,0.4150915700882239
current25|deep_lowreg|large_delta,25,0.2212035386832199,0.5027649823238839,0.24989794871794865,0.8173193640793691,0.4560819065824751,0.5947954005974079,11,0.18644718432661572,0.6282996618966378,3.6017003381033628,16.578588485717773,1.4889405906987003,0.5933725216493013,0.23111501546858837,0.5283462849279158,0.6857110477881214,0.42394270648565574
aug_washout25|deep_lowreg|base,25,0.20779098947382962,0.4958438138244096,0.24989794871794865,0.822314384656597,0.45962820069402494,0.6187935415237751,11,0.1829008902150659,0.6055926161260702,3.62440738387393,17.880226373672485,1.5460652138937556,0.6412696845809924,0.36425277982472815,0.8671438603802365,0.03849047600616462,0.4173703448496687
current25|base|large_delta,25,0.2004901071408459,0.4837274023598134,0.24989794871794865,0.8308921171970761,0.46172965373688674,0.6045310900715478,11,0.1807994371722041,0.6217519626637344,3.608248037336266,15.372948169708252,1.505800946012949,0.7766708177003605,0.4191032996631736,0.6720439123918033,0.3725634496624437,0.20239201224116765
aug_event25|deep_lowreg|base,25,0.21334053175850223,0.5028726723173333,0.24989794871794865,0.817241096960146,0.46798774184570496,0.6263028029536515,11,0.17454134906338586,0.5560546369566123,3.673945363043388,17.02573800086975,1.559890441272579,0.6660594654453265,0.37791901269750316,0.8537609851627649,0.03187653609995156,0.4142007928685675
current25|deep_lowreg|aug_regime,25,0.21351060679534437,0.5004471654097977,0.24989794871794865,0.8189998480801481,0.4711595695628702,0.6071964496091098,11,0.17136952134622063,0.5616053786844969,3.6683946213155036,18.63612675666809,1.5473996797246474,0.826711061689728,0.3635638202564553,0.4331908990774028,0.3997027027569655,0.4377072206843536
aug_event25|deep_lowreg|aug_regime,25,0.21006245169404367,0.5010410384270407,0.24989794871794865,0.8185700129534685,0.474394537239894,0.6139191143192239,11,0.16813455366919683,0.5530067697920092,3.6769932302079913,17.629912614822388,1.5238672174913486,0.6646061593549049,0.4093493009011473,0.82379819367417,0.1505706712188024,0.4085591703016564
aug_delayed_flush25|deep_lowreg|base,25,0.21267346990759167,0.4998972646066456,0.24989794871794865,0.8193974023152202,0.4770361888099874,0.6260971521476292,11,0.16549290209910344,0.5955050979098037,3.634494902090197,17.74925971031189,1.5496173249663152,0.6377756014663241,0.37596796450433523,0.8894266867864283,0.12804310350566084,0.42338222430789213
aug_event25|deep_lowreg|large_delta,25,0.22403808093944305,0.501067307985603,0.24989794871794865,0.8185509877230106,0.47845460751092106,0.5748728194274707,11,0.16407448339816977,0.6276925971025202,3.6023074028974804,17.981006383895874,1.2618950007876306,0.49442925029720386,0.24242016760930962,0.7919769877811657,0.37313751474481993,0.4159593288219216
aug_competition25|conservative|base,25,0.2031548010114045,0.4829205717245312,0.24989794871794865,0.8314557719805964,0.4791492911325357,0.6217650126924246,11,0.16337979977655515,0.7115213005967297,3.518478699403271,13.785012006759644,1.5297196740891854,0.7618099151046454,0.5396781443456284,0.6853640774388886,0.40037666047413856,0.16197908236801417
