kind,anchor_pos,target_pos,t0,t1,gap_h,ec0,ec1,ec_delta,ec_ratio,fert_salt_total_t0_t1,irr_total_t0_t1,salt_conc_t0_t1,salt_per_hour,irr_per_hour,ET0_sum_t0_t1,irr_to_et0,soil_temp_mean,temp_rh_balance,g_soil_minus_air,canopy,days_after_planting_t1,last_salt_event_mass,last_core_salt_event_mass,last_salt_event_irr,last_salt_event_conc_mass,event_to_target_h,event_to_t0_h,hrs_since_last_salt_event,irr_after_last_salt,no_flush_after_salt,post_salt_flush_ratio,salt_mass_last_2h,salt_conc_last_2h,salt_mass_per_ec0,last_salt_mass_per_ec0,last_salt_release_fast,last_salt_release_med,short_salt_shock_pressure,mass_shortgap_no_flush,event_conc_x_logmass,event_conc_x_logmass_fast,event_mass_x_conc_fast,concentrated_large_event_pressure,concentrated_large_event_per_ec0,short_high_mass_no_flush_flag,event_high_mass_conc_short_flag,low_ec_high_mass_flag,ec0_x_p48_salt,n24_salt_minus_p24_salt,prev_ec_slope,salt_event_pos,timing_balance
consecutive,14,15,2025-07-31 12:00:00,2025-08-03 09:00:00,69.0,0.4112,0.911,0.4998,2.0836947094535994,99.0,1566.6666663,0.06315118011258054,1.434782608695652,22.705314004347827,15.746815406000001,98.86318646122557,29.339762911642513,42.48172004255113,0.06484632475200744,0.38999224534782606,66.0,0.0,0.0,0.0,0.0,69.0,,69.0,0.0,1.0,0.0,0.0,0.0,193.66197183098592,0.0,0.0,0.0,0.0,4.787249458545047e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.59848,-651.0999999999999,-0.7629333333333334,0.0,-0.9661835748792271
consecutive,19,20,2025-08-05 08:00:00,2025-08-05 14:10:00,6.166666666666667,1.98,2.47,0.4900000000000002,1.2413793103448276,325.54999999999995,366.6666666,0.8854487762258293,52.79189189189188,59.459459448648644,3.7635514509999997,94.90404651013408,33.87440220567568,53.84079726702077,0.5408297296716807,0.459623555,68.0,325.54999999999995,325.54999999999995,100.0,3.223267326732673,5.666666666666667,0.5,5.666666666666667,266.6666666,0.3600000000576,0.8166181797580769,0.0,0.0,156.51442307692304,156.51442307692304,2.680724341096292,28.42298490969643,0.013628693768571972,0.09545531581870967,18.658150698072355,0.15363955993292996,8.64069118063265,0.0821408859048578,0.039490810531181635,0.0,0.0,0.0,1318.8779999999997,-15.0,-0.04000000000000001,0.08108108108108103,-0.7297297297297297
consecutive,95,96,2025-09-18 07:10:00,2025-09-18 09:40:00,2.5,0.47,0.795,0.32500000000000007,1.625,325.54999999999995,100.0,3.223267326732673,130.21999999999997,40.0,0.8940095380000002,100.60265639020456,26.146150278666667,46.35853870537425,-6.152516387999995,1.0,112.0,325.54999999999995,325.54999999999995,100.0,3.223267326732673,1.6666666666666667,0.8333333333333334,1.6666666666666667,0.0,1.0,0.0,325.54999999999995,3.223267326732673,571.140350877193,571.140350877193,107.16877718086364,214.61578716175444,3.3430894001359563,1.6584568183976087,18.658150698072355,6.142132375268598,345.4336179329718,3.2837909381523556,5.7610367336006245,0.0,0.0,0.0,306.01699999999994,0.0,0.015726315789473682,0.33333333333333326,0.0
consecutive,29,30,2025-08-13 11:20:00,2025-08-14 12:30:00,25.166666666666668,2.13,2.39,0.26000000000000023,1.1192660550458717,325.54999999999995,1166.6666668,0.2788038823546898,12.93576158940397,46.357615899337745,6.075756381,188.91073332965402,33.43159196516557,48.3817283810524,0.7735226507276681,0.6159841097682119,77.0,325.54999999999995,325.54999999999995,100.0,3.223267326732673,25.0,0.16666666666666666,25.0,1066.6666668,0.12328767121936574,3.2664727202572355,0.0,0.0,145.98654708520178,145.98654708520178,2.318974557892727e-06,0.07748128898384282,1.3164925808153917e-08,2.44691954096321e-06,18.658150698072355,1.3290670178515808e-07,7.474674923979971e-06,7.105640130765401e-08,3.186385708863409e-08,0.0,0.0,0.0,31.95,0.0,0.024484472049689433,0.0066225165562914245,-0.8940397350993377
consecutive,94,95,2025-09-17 15:20:00,2025-09-18 07:10:00,15.833333333333334,0.221,0.47,0.24899999999999997,1.918819188191882,0.0,533.3333334,0.0,0.0,33.684210530526315,0.4726676440000001,931.3138938228539,24.89254710463158,26.991349929324063,1.0281260520000046,1.0,112.0,0.0,0.0,0.0,0.0,15.833333333333334,,15.833333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.89309999999998,0.0,-0.061090909090909105,0.0,-0.968421052631579
consecutive,87,88,2025-09-16 08:50:00,2025-09-16 10:00:00,1.1666666666666667,0.183,0.414,0.23099999999999998,1.9914163090128756,0.0,0.0,0.0,0.0,0.0,0.467505858,0.0,29.61035140285714,52.40647690250666,-2.6810771685714343,1.0,110.0,0.0,0.0,0.0,0.0,1.1666666666666667,,1.1666666666666667,0.0,1.0,0.0,325.54999999999995,3.223267326732673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.26829999999998,0.0,-0.08076923076923077,0.0,0.0
consecutive,6,7,2025-07-23 17:30:00,2025-07-24 11:00:00,17.5,0.3605,0.5821,0.22159999999999996,1.5398294762484774,0.0,266.6666666,0.0,0.0,15.238095234285714,2.201034722,115.88989251245204,28.34954207304762,36.65688867086968,0.28911422061604475,0.2265198493142858,56.0,0.0,0.0,0.0,0.0,17.5,,17.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.41104999999993,0.0,0.005916666666666663,0.0,-0.9428571428571428
consecutive,92,93,2025-09-17 11:50:00,2025-09-17 13:30:00,1.6666666666666667,0.128,0.333,0.20500000000000002,2.1516853932584272,0.0,0.0,0.0,0.0,0.0,0.5131650379999999,0.0,34.269899865,44.87589710148127,4.252899864999996,1.0,111.0,0.0,0.0,0.0,0.0,1.6666666666666667,,1.6666666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.34079999999999,0.0,-0.028999999999999998,0.0,0.0
consecutive,61,62,2025-09-08 13:50:00,2025-09-09 08:30:00,18.666666666666668,0.156,0.348,0.19199999999999998,1.932038834951456,0.0,1333.3333334,0.0,0.0,71.42857143214285,1.830760399,690.5742080118144,26.955509416428576,36.49922143359297,0.8238800451997171,0.9630165943214288,103.0,0.0,0.0,0.0,0.0,18.666666666666668,,18.666666666666668,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.01559999999999,0.0,-0.039230769230769236,0.0,-0.9017857142857143
consecutive,65,66,2025-09-09 18:40:00,2025-09-10 07:50:00,13.166666666666666,0.161,0.342,0.18100000000000002,1.85781990521327,0.0,666.6666667,0.0,0.0,50.632911394936706,0.792996739,746.54994535204,24.76656708822785,31.79824991241296,0.4444014466831796,0.9736214821139239,104.0,0.0,0.0,0.0,0.0,13.166666666666666,,13.166666666666666,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.7661,0.0,-0.06199999999999999,0.0,-0.9113924050632912
