feature_set,features,params,mask,gate,max_rows,scale,ph_blend,ec_blend,wf_active,ho_active,n_train,n_spec,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae,sep21_ec_mae,min_wf,min_ho,ok_hold,score
all52,52,reg500,shock,shock_gap2,8,False,0.5,0.85,0,4,256,12,0.9291523700847188,0.8227396528059006,0.30381041471466963,0.19666442329349906,0.9484714510714352,0.9445991585094184,0.3053413054829237,0.1686227655172529,0.6864045552435596,0.8227396528059006,0.9445991585094184,True,2.535285385799607
all52,52,reg500,shock,shock_gap2,8,False,0.2,0.75,0,4,256,12,0.9291523700847188,0.8227396528059006,0.30381041471466963,0.19666442329349906,0.945067767515922,0.9439471877562522,0.3168323173850057,0.17287528203435615,0.7289297204145925,0.8227396528059006,0.9439471877562522,True,2.533995537568875
all52,52,reg500,shock,shock_gap2,8,False,0.5,0.75,0,4,256,12,0.9291523700847188,0.8227396528059006,0.30381041471466963,0.19666442329349906,0.9484714510714352,0.9439471877562522,0.3053413054829237,0.17287528203435615,0.7289297204145925,0.8227396528059006,0.9439471877562522,True,2.533995537568875
all52,52,reg500,shock,shock_gap2,8,False,0.0,0.85,0,4,256,12,0.9291523700847188,0.8227396528059006,0.30381041471466963,0.19666442329349906,0.9297745594845109,0.9445991585094184,0.34580944023933274,0.1686227655172529,0.6864045552435596,0.8227396528059006,0.9297745594845109,True,2.520460786774699
all52,52,reg500,shock,shock_gap2,8,False,0.0,0.75,0,4,256,12,0.9291523700847188,0.8227396528059006,0.30381041471466963,0.19666442329349906,0.9297745594845109,0.9439471877562522,0.34580944023933274,0.17287528203435615,0.7289297204145925,0.8227396528059006,0.9297745594845109,True,2.5198229092971336
all52,52,reg500,shock,shock_gap2,8,False,0.8,0.85,0,4,256,12,0.9291523700847188,0.8227396528059006,0.30381041471466963,0.19666442329349906,0.928431780437024,0.9445991585094184,0.3367170035346079,0.1686227655172529,0.6864045552435596,0.8227396528059006,0.928431780437024,True,2.5191180077272124
all52,52,reg500,shock,shock_gap2,8,False,0.8,0.75,0,4,256,12,0.9291523700847188,0.8227396528059006,0.30381041471466963,0.19666442329349906,0.928431780437024,0.9439471877562522,0.3367170035346079,0.17287528203435615,0.7289297204145925,0.8227396528059006,0.928431780437024,True,2.518480130249647
all52,52,reg500,shock,shock_gap2,8,False,0.0,0.9,0,4,256,12,0.9291523700847188,0.8227396528059006,0.30381041471466963,0.19666442329349906,0.9297745594845109,0.9256911770846963,0.34580944023933274,0.1889826013075238,0.8900029131462689,0.8227396528059006,0.9256911770846963,True,2.513323429006344
all52,52,reg500,shock,shock_gap2,8,False,0.2,0.9,0,4,256,12,0.9291523700847188,0.8227396528059006,0.30381041471466963,0.19666442329349906,0.945067767515922,0.9256911770846963,0.3168323173850057,0.1889826013075238,0.8900029131462689,0.8227396528059006,0.9256911770846963,True,2.513323429006344
all52,52,reg500,shock,shock_gap2,8,False,0.5,0.9,0,4,256,12,0.9291523700847188,0.8227396528059006,0.30381041471466963,0.19666442329349906,0.9484714510714352,0.9256911770846963,0.3053413054829237,0.1889826013075238,0.8900029131462689,0.8227396528059006,0.9256911770846963,True,2.513323429006344
all52,52,reg500,shock,shock_gap2,8,False,0.8,0.9,0,4,256,12,0.9291523700847188,0.8227396528059006,0.30381041471466963,0.19666442329349906,0.928431780437024,0.9256911770846963,0.3367170035346079,0.1889826013075238,0.8900029131462689,0.8227396528059006,0.9256911770846963,True,2.513323429006344
all52,52,reg500,shock,shock_gap2,8,False,1.0,0.85,0,4,256,12,0.9291523700847188,0.8227396528059006,0.30381041471466963,0.19666442329349906,0.9020479143530141,0.9445991585094184,0.36460942560209003,0.1686227655172529,0.6864045552435596,0.8227396528059006,0.9020479143530141,True,2.4927341416432025
all52,52,reg500,shock,shock_gap2,8,False,1.0,0.75,0,4,256,12,0.9291523700847188,0.8227396528059006,0.30381041471466963,0.19666442329349906,0.9020479143530141,0.9439471877562522,0.36460942560209003,0.17287528203435615,0.7289297204145925,0.8227396528059006,0.9020479143530141,True,2.492096264165637
all52,52,reg500,shock,shock_gap2,8,False,1.0,0.9,0,4,256,12,0.9291523700847188,0.8227396528059006,0.30381041471466963,0.19666442329349906,0.9020479143530141,0.9256911770846963,0.36460942560209003,0.1889826013075238,0.8900029131462689,0.8227396528059006,0.9020479143530141,True,2.489680166274662
top36,36,reg500,shock,shock_gap2,4,False,0.2,0.75,0,4,246,12,0.9291793866839108,0.8213790668296892,0.30354253529950415,0.1963526737591896,0.9447035436276956,0.9376605039166447,0.30852130619735274,0.19116991136672723,0.751805042850015,0.8213790668296892,0.9376605039166447,True,2.5222902498071353
top36,36,reg500,shock,shock_gap2,4,False,0.5,0.75,0,4,246,12,0.9291793866839108,0.8213790668296892,0.30354253529950415,0.1963526737591896,0.9538932622224561,0.9376605039166447,0.27861057802032413,0.19116991136672723,0.751805042850015,0.8213790668296892,0.9376605039166447,True,2.5222902498071353
