variant,family,n_features,ph_mae,ph_rmse,ph_r2,ph_naive_mae,ec_mae,ec_rmse,ec_r2,ec_naive_mae,w52_ec_low_mae,w52_ec_high_mae,w52_ec_shock_mae,w52_ec_balanced_mae,w52_ph_mid_mae,w52_ph_acidic_mae,w52_ph_alkaline_mae,w52_ph_jump_mae,w52_ph_balanced_mae,w30_ec_mae,w30_ec_rmse,w30_ec_r2,w30_ec_naive_mae,w30_ec_low_mae,w30_ec_high_mae,w30_ec_shock_mae,w30_ec_balanced_mae,ho_ec_mae,ho_ec_rmse,ho_ec_r2,ho_ec_naive_mae,ho_ec_low_mae,ho_ec_high_mae,ho_ec_shock_mae,ho_ec_balanced_mae,ho_ph_mid_mae,ho_ph_acidic_mae,ho_ph_alkaline_mae,ho_ph_jump_mae,ho_ph_balanced_mae,aug17_drop_abs_err,aug17_spike_abs_err,sep21_0720_abs_err,score,walkforward_score,params_variant,weight_strength,feature_count
t1_light_lessreg,strict_walkforward_optimized,36.0,0.2746083144387328,0.3675931867690598,0.9465874570735232,0.8768421052631579,0.1455226959622381,0.2255169975189604,0.9682571448946484,0.1960771929824561,0.1109013596479037,0.4398040546340815,0.5313574888299267,0.3606876343706373,0.2927983749920665,0.2077711270096702,0.2717677694842929,0.3047874235066623,0.269281173748173,0.2006969291316925,0.3335419541967794,0.9203441022033002,0.2467346835443037,0.1385837649688617,0.4890794770305496,0.5575465501165376,0.3950699307053163,0.3111530938201587,0.7296652626364551,0.701700660600588,0.5569225,0.0846824632930715,1.2170356159285076,1.2594029989959934,0.8537070260725242,0.3326298111341891,1.078527415194377,0.2260385318845508,0.412160847153641,0.5123391513416894,0.5551925680654484,1.4735324428748444,0.4399376854001908,2.4507610520539096,1.988118168948624,less_regularized,light,36
t1_medium_smooth_eps2,,,0.2781904197878245,0.3807522318831723,0.9426949014391993,0.8768421052631579,0.14179313748506844,0.20565716089287248,0.9736017524463586,0.19607719298245616,,,,,,,,,,0.1868162294407216,0.29658700121274817,0.937017307194634,0.24673468354430375,0.13276697721025543,0.4377591862250289,0.5018900585452695,0.35747207399351794,0.33086840424820996,0.7756276990623874,0.6629366215484034,0.5569225,0.08658810697624666,1.307989593336063,1.3299167521546422,0.9081648174889839,,,,,,0.4063340610761692,1.454583673650511,0.7604105748509955,,2.101939086334757,secondpass,,36
t1_medium_lessreg,strict_walkforward_optimized,36.0,0.3001031784309303,0.3986261592131604,0.9371883880866588,0.8768421052631579,0.1527888886786188,0.2467889099312044,0.9619864259092604,0.1960771929824561,0.1124370459503671,0.4957795518687585,0.4034444220181326,0.3372203399457527,0.3144697404710097,0.2658992958054603,0.2916649345840725,0.3240759500297755,0.2990274802225795,0.203973684671628,0.337475112914382,0.9184544057948264,0.2467346835443037,0.1376880045300022,0.5117286281863193,0.5519102933544953,0.4004423086902722,0.3335877292601659,0.746235231861816,0.6879986679788571,0.5569225,0.0922681165212422,1.2988661802158603,1.3331539039751612,0.908096066904088,0.3542734394073484,1.0832136161856498,0.2636677971645258,0.4413916109789187,0.5356366159341107,0.6244672526150821,1.4869568288766255,0.4317872782790117,2.5644763772387176,2.127698783252461,less_regularized,medium,36
t1_light_deeper,strict_walkforward_optimized,36.0,0.2959828815505889,0.3830910593518705,0.9419887289365284,0.8768421052631579,0.1352198569107502,0.18411282359937,0.9788429310159628,0.1960771929824561,0.1087364775688705,0.360328581316728,0.3073144312507401,0.2587931633787796,0.3258522000632122,0.2249789206882264,0.2784027619872774,0.3542000918778628,0.2958584936541447,0.1862704700639146,0.2973500261584289,0.9366928210654832,0.2467346835443037,0.1338187273794993,0.429796418241557,0.4736891988568341,0.3457681148259635,0.3165886380723806,0.7355794993920952,0.696845385604647,0.5569225,0.0936670353843089,1.208275048824667,1.282161215477779,0.8613677665622518,0.3689676912128923,1.090669027459636,0.1948660768382248,0.4391696084857009,0.5234181009991136,0.7788490262668086,1.431719824115951,0.4375236633648498,2.583931033994148,2.1282024131750314,deeper_slow,light,36
t1_medium_deeper,strict_walkforward_optimized,36.0,0.2914227410289475,0.3937945825050561,0.9387017857602123,0.8768421052631579,0.1345370228069801,0.1802612473353036,0.9797188690646786,0.1960771929824561,0.1082768849591332,0.3577481945136779,0.3474201532249276,0.2711484108992463,0.320766287975858,0.2029015374595157,0.2804077678635006,0.3593972961875646,0.2908682223716097,0.1853672006790653,0.2965350916118927,0.9370393521279587,0.2467346835443037,0.1306032038582235,0.4396286144901165,0.4976065796889577,0.3559461326790993,0.3256008804054377,0.7411080482163649,0.6922712955450003,0.5569225,0.0879014276424832,1.2763986914572554,1.3054324261101031,0.8899108484032805,0.371808693706989,1.085443030507132,0.1784461630228906,0.4339755946250034,0.5174183704655038,0.7628214513838105,1.478919045492274,0.4449533268180112,2.6320500883799403,2.177597145214956,deeper_slow,medium,36
union44_medium_lessreg,strict_walkforward_optimized,44.0,0.2943591322006322,0.403722031754066,0.9355722078829376,0.8768421052631579,0.1460892105372621,0.2407320792604475,0.963829429475348,0.1960771929824561,0.1005130176359163,0.5334868501987016,0.4102855264577254,0.3480951314307811,0.3140587682189652,0.2140431135521968,0.293926879153365,0.347889328003278,0.2924795222319513,0.1876663029139439,0.3140207817324796,0.9293952727185985,0.2467346835443037,0.1273953743672642,0.4674956140235282,0.4687263392136307,0.3545391092014744,0.3206592055735552,0.7341256342784975,0.6980425651166726,0.5569225,0.0880848540066672,1.2509566118411066,1.3082352309521783,0.8824255655999841,0.3565597179709,0.9189800117608272,0.1751051656343043,0.3800849813420965,0.457682469177032,0.6259255781930166,1.4689099864397008,0.5737598560962835,2.6230220802342057,2.249761313427446,less_regularized,medium,44
t1_medium_smooth_blend085,,,0.2771838546789648,0.3804981936822986,0.9427713439468002,0.8768421052631579,0.14807283311171923,0.23593812188966878,0.9652556924098455,0.19607719298245616,,,,,,,,,,0.19134714907007724,0.31242911251157385,0.9301092035826808,0.24673468354430375,0.13193559185229187,0.46718652186693804,0.5476659139882393,0.3822626759024897,0.3248187264324779,0.740606279705355,0.6926878510065212,0.5569225,0.08658810697624666,1.2777412042574026,1.2996683630759818,0.887999224769877,,,,,,0.4063340610761692,1.454583673650511,1.1723932738377236,,2.490608099380533,secondpass,,36
t1_timing_medium_baseline,strict_walkforward_optimized,42.0,0.3062296514461544,0.4060665944062606,0.9348217231470856,0.8768421052631579,0.165430016278011,0.3035092933217229,0.942504823417026,0.1960771929824561,0.1060563736359798,0.6701059787352758,0.6163758668342809,0.4641794064018454,0.3277683865757609,0.2339002125324691,0.3005954968574501,0.3453670265287403,0.3019077806236051,0.2032973924004092,0.3544245634247384,0.9100575682726102,0.2467346835443037,0.1281440832551934,0.5522234705746253,0.5272249521249367,0.4025308353182518,0.2920716501160875,0.6751039728809939,0.7446438765315195,0.5569225,0.0928959955295708,1.0887742684621542,1.106382211810102,0.7626841586006089,0.3829193646078927,1.029246018638991,0.1468824929744003,0.41651657071557,0.4938911117342135,0.6937580524513991,1.4503644134309832,0.9481588689721838,2.950365163127306,2.7021829106389506,baseline,medium,42
t1_timing_light_lessreg,strict_walkforward_optimized,42.0,0.299583042775079,0.4185413696980497,0.9307555243770148,0.8768421052631579,0.1666071997716397,0.285905728143254,0.9489808594650688,0.1960771929824561,0.1060011642083966,0.6817585020592062,0.8338815642570422,0.5405470768415483,0.3060380489909201,0.1928289981120143,0.3262536681266058,0.3757794990152363,0.3002250535611941,0.20223639713223,0.3362538469727431,0.9190435375878874,0.2467346835443037,0.1338717556102147,0.5196436613415865,0.6023739088889666,0.4186297752802559,0.2931920422777938,0.6814686285003856,0.7398063551193361,0.5569225,0.0907691752019017,1.102883510581362,1.1618139598470787,0.7851555485434475,0.4267990138530729,1.0391313930723518,0.1766766488738358,0.4734547169402813,0.5290154431848855,0.5386430832447937,1.495658011161806,0.9785186535953384,2.916987368388388,2.718535874681982,less_regularized,light,42
t1_medium_smooth_derived,,,0.3176081208054953,0.4345757629232679,0.9253483603768291,0.8768421052631579,0.17822273921405216,0.32427142937762643,0.9343696384190963,0.19607719298245616,,,,,,,,,,0.20402941905041125,0.35394435211843844,0.910301129904625,0.24673468354430375,0.1358482749425148,0.5205847309799303,0.6061565573796631,0.4208631877673694,0.3258426206857206,0.7957670454675341,0.6452055240617438,0.5569225,0.0832667846686909,1.2961459647538394,1.3688905931842366,0.9161011142022556,,,,,,0.42794458777301125,1.3785148310023159,1.0798435762090874,,2.799427824384848,secondpass,,38
