,global_xgb_total_gain,global_xgb_gain_importance,global_xgb_split_count,ph_xgb_total_gain,ph_xgb_gain_importance,ph_xgb_split_count,ec_xgb_total_gain,ec_xgb_gain_importance,ec_xgb_split_count,mean_target_xgb_gain_importance
hist_irr_recent,26.7809871865611,0.0113726700575771,210,22.1647115474887,0.010962231736876835,100,4.6162756390724,0.013865235186978249,110,0.012413733461927541
rad_morning,25.698366148507322,0.010912930027181371,96,20.37162790162252,0.010075407723513298,44,5.3267382468848,0.015999148306354335,52,0.013037278014933817
hour_cos_b,23.6335295637636,0.010036087622623242,216,17.333605067089298,0.008572861197576219,132,6.2999244966743,0.01892216618679792,84,0.013747513692187071
hist48_irr_prevday,17.969643595431698,0.007630892253503224,70,4.838888362048699,0.0023932193053811386,28,13.130755233383,0.03943893816749736,42,0.02091607873643925
hist_irr_prior,17.278582570723,0.007337429993545645,94,14.772786535398,0.007306330563042906,56,2.505796035325,0.007526294804909043,38,0.007416312683975974
fert_salt_total_t0_t1,15.70668694257618,0.006669917245814214,37,14.636436865,0.007238894689539784,23,1.07025007757618,0.0032145543712500824,14,0.005226724530394933
ET0_sum_t0_t1,14.220353852796,0.006038739025684544,97,11.191517437006999,0.005535105086701159,57,3.028836415789,0.009097275061382028,40,0.007316190074041593
salt_event_pos,14.0619293253079,0.005971463317451734,101,10.7447355863163,0.005314135543623253,48,3.3171937389916,0.00996337197948004,53,0.007638753761551647
irr_after_last_salt,11.541266672784399,0.00490105226524108,42,10.545344917714399,0.005215520828484653,24,0.99592175507,0.0029913052082497465,18,0.0041034130183671995
hrs_since_fert,10.3641538401701,0.004401185857307468,128,7.6856384136926,0.0038011660632816407,65,2.6785154264775,0.00804506689889135,63,0.005923116481086495
ec_flush_log,9.13594240318596,0.0038796201907224603,123,3.35203955232677,0.0016578530374759739,56,5.78390285085919,0.017372267081935157,67,0.009515060059705566
fresh_flush_log,8.105463213654,0.0034420224374317504,67,6.3557271461294995,0.0031434180265758746,32,1.7497360675245,0.005255427532538022,35,0.004199422779556948
salt_conc_t0_t1,7.8609522751334,0.0033381897366469675,38,3.8600401200234002,0.001909100157639214,20,4.00091215511,0.012016957463178494,18,0.006963028810408854
stage_x_salt_conc,7.4782152164122,0.0031756586746916424,64,3.13764503973,0.0015518177152853345,31,4.3405701766822,0.013037138821583817,33,0.007294478268434576
salt_recency_pressure,6.47741479530208,0.002750664147660874,78,2.19574500375668,0.0010859724257948858,25,4.2816697915454,0.012860228308352541,53,0.006973100367073714
irr_total_t0_t1,5.4350879906318,0.0023080352498123227,78,2.9850579810618,0.0014763511479183094,32,2.45003000957,0.00735879851071212,46,0.004417574829315214
t1_morning,4.9457442053789995,0.002100233148432035,11,4.81488249357,0.0023813464735265638,9,0.130861711809,0.0003930502753875735,2,0.0013871983744570687
t1_early_day,1.17637182575,0.0004995517359418982,4,0.608591676,0.00030099750999025104,1,0.56778014975,0.001705358589107857,3,0.001003178049549054
