mode,max_rows,blend,wf_active,ho_active,n_spec,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae,sep21_ec_mae,wf_min,ho_min,ok
shock_or_acid,4,1.8,2,4,178,0.9169120507220133,0.7791769606991664,0.29863804024082136,0.20292524052047473,0.8671393039044104,0.8147171803119235,0.3849870294086754,0.2648238213823388,1.6154339014332988,0.7791769606991664,0.8147171803119235,False
union,8,1.8,2,4,188,0.9136364319865747,0.7675398657331665,0.30151479382679963,0.20380098844416647,0.870056322700218,0.8201038142365293,0.38490925584037966,0.25955885328226724,1.5793649317675271,0.7675398657331665,0.8201038142365293,False
shock_or_acid,8,1.8,2,4,188,0.9136364319865747,0.7675398657331665,0.30151479382679963,0.20380098844416647,0.870056322700218,0.8201038142365293,0.38490925584037966,0.25955885328226724,1.5793649317675271,0.7675398657331665,0.8201038142365293,False
union_shock3,8,1.8,2,4,188,0.9314214567851028,0.7461962810541369,0.28965114264883524,0.20778198070580642,0.8796429701538943,0.7589684615211324,0.3785110682738009,0.297390696348938,1.9576833624342347,0.7461962810541369,0.7589684615211324,False
shock_or_acid_shock3,8,1.8,2,4,188,0.9314214567851028,0.7461962810541369,0.28965114264883524,0.20778198070580642,0.8796429701538943,0.7589684615211324,0.3785110682738009,0.297390696348938,1.9576833624342347,0.7461962810541369,0.7589684615211324,False
union_shock3,4,1.8,2,4,178,0.932797230955924,0.7447886154779189,0.28815319189092564,0.20937664529504513,0.8811897874339072,0.760458062446614,0.37481647709309857,0.29905935044361465,1.9577891920460577,0.7447886154779189,0.760458062446614,False
shock_or_acid_shock3,4,1.8,2,4,178,0.932797230955924,0.7447886154779189,0.28815319189092564,0.20937664529504513,0.8811897874339072,0.760458062446614,0.37481647709309857,0.29905935044361465,1.9577891920460577,0.7447886154779189,0.760458062446614,False
union_shock8,4,1.8,2,4,178,0.9430681756430519,0.5822375333460286,0.27879664092541484,0.2349264804857172,0.8828479265360053,0.7000753786150578,0.374895182499862,0.3241857350451004,2.209053038060915,0.5822375333460286,0.7000753786150578,False
union_shock8,8,1.8,2,4,188,0.9396597012603949,0.5598554756470229,0.28209810362612436,0.23678525341619228,0.8747831349221207,0.6970747759084819,0.3831248215507002,0.3243129751228755,2.226906150173609,0.5598554756470229,0.6970747759084819,False
union,4,2.0,2,4,178,0.9011139389019643,0.3857180180731028,0.309653945784259,0.2620512591514206,0.8579925224502898,0.8092001981926661,0.3913467200264054,0.26673412751498216,1.6345369627597328,0.3857180180731028,0.8092001981926661,False
shock_or_acid,4,2.0,2,4,178,0.9011139389019643,0.3857180180731028,0.309653945784259,0.2620512591514206,0.8579925224502898,0.8092001981926661,0.3913467200264054,0.26673412751498216,1.6345369627597328,0.3857180180731028,0.8092001981926661,False
union,8,2.0,2,4,188,0.8967042292588895,0.361354969317356,0.3132523787785644,0.2634474850019035,0.8610299067809473,0.8120544959679245,0.39099990937582724,0.26059543366699794,1.5897307356148342,0.361354969317356,0.8120544959679245,False
shock_or_acid,8,2.0,2,4,188,0.8967042292588895,0.361354969317356,0.3132523787785644,0.2634474850019035,0.8610299067809473,0.8120544959679245,0.39099990937582724,0.26059543366699794,1.5897307356148342,0.361354969317356,0.8120544959679245,False
union_shock3,8,2.0,2,4,188,0.9201723744674364,0.3065657766590507,0.3000705441363816,0.2694570631051017,0.8722285320175677,0.7068232438476847,0.3838908120796285,0.30823860739810305,2.0661624729258854,0.3065657766590507,0.7068232438476847,False
shock_or_acid_shock3,8,2.0,2,4,188,0.9201723744674364,0.3065657766590507,0.3000705441363816,0.2694570631051017,0.8722285320175677,0.7068232438476847,0.3838908120796285,0.30823860739810305,2.0661624729258854,0.3065657766590507,0.7068232438476847,False
union_shock3,4,2.0,2,4,178,0.922005071957153,0.29731500751967965,0.2980041142843749,0.2717910336030065,0.8743504873114027,0.7045099554447272,0.38004610634243097,0.3102498152764603,2.069693840374514,0.29731500751967965,0.7045099554447272,False
shock_or_acid_shock3,4,2.0,2,4,178,0.922005071957153,0.29731500751967965,0.2980041142843749,0.2717910336030065,0.8743504873114027,0.7045099554447272,0.38004610634243097,0.3102498152764603,2.069693840374514,0.29731500751967965,0.7045099554447272,False
union_shock8,4,2.0,2,4,178,0.9358273280097866,-0.11766648043285977,0.28760794654491834,0.31076690699479387,0.8762976423125776,0.6083458574526608,0.3801335567943903,0.34174448078627057,2.384640495472617,-0.11766648043285977,0.6083458574526608,False
union_shock8,8,2.0,2,4,188,0.9313052371790723,-0.1685734523636646,0.2916782785555918,0.31370782914056394,0.8665965882893774,0.6167891727293026,0.3890172046095167,0.3415252025052887,2.399028423997742,-0.1685734523636646,0.6167891727293026,False
union,4,2.5,2,4,178,0.8494034109534396,-3.710735636334338,0.33719370991880054,0.5154387525375986,0.833182560683185,0.6426003793622048,0.4072459473157881,0.29091402959483487,1.8763359835582598,-3.710735636334338,0.6426003793622048,False
shock_or_acid,4,2.5,2,4,178,0.8494034109534396,-3.710735636334338,0.33719370991880054,0.5154387525375986,0.833182560683185,0.6426003793622048,0.4072459473157881,0.29091402959483487,1.8763359835582598,-3.710735636334338,0.6426003793622048,False
union,8,2.5,2,4,188,0.8408946280709686,-3.865479984839566,0.3425963405370943,0.5197577653647375,0.8364689547857012,0.6374555077595346,0.40622654251595425,0.30395177301856696,2.023294129130525,-3.865479984839566,0.6374555077595346,False
shock_or_acid,8,2.5,2,4,188,0.8408946280709686,-3.865479984839566,0.3425963405370943,0.5197577653647375,0.8364689547857012,0.6374555077595346,0.40622654251595425,0.30395177301856696,2.023294129130525,-3.865479984839566,0.6374555077595346,False
union_shock3,8,2.5,2,4,188,0.8818142051735934,-4.277627973960652,0.32611904723436597,0.5359196897815743,0.8521759698994018,0.3020525144201317,0.39734017089570595,0.3468362432292912,2.4521388312377663,-4.277627973960652,0.3020525144201317,False
shock_or_acid_shock3,8,2.5,2,4,188,0.8818142051735934,-4.277627973960652,0.32611904723436597,0.5359196897815743,0.8521759698994018,0.3020525144201317,0.39734017089570595,0.3468362432292912,2.4521388312377663,-4.277627973960652,0.3020525144201317,False
union_shock3,4,2.5,2,4,178,0.8856452422577,-4.376832011835824,0.3226314205439455,0.5416389649045552,0.8559622558198192,0.26296257484857344,0.3931201802108202,0.3508580365829118,2.4757760534390294,-4.376832011835824,0.26296257484857344,False
shock_or_acid_shock3,4,2.5,2,4,178,0.8856452422577,-4.376832011835824,0.3226314205439455,0.5416389649045552,0.8559622558198192,0.26296257484857344,0.3931201802108202,0.3508580365829118,2.4757760534390294,-4.376832011835824,0.26296257484857344,False
union_shock8,4,2.5,2,4,178,0.9104546101021115,-7.57704302769192,0.3096362108696249,0.6492537432826292,0.8587236314342035,-0.02572561422530084,0.3932294932757694,0.4042557232110807,3.009752919720719,-7.57704302769192,-0.02572561422530084,False
union_shock8,8,2.5,2,4,188,0.9019154640891229,-7.9399686235077045,0.31562871525837866,0.6581483524502219,0.8444106440134429,0.06979610770707778,0.4037481615580661,0.40143237161534245,2.998100115098279,-7.9399686235077045,0.06979610770707778,False
union,4,3.0,2,4,178,0.7802425291560586,-25.51187025069723,0.3647334735014472,1.0509868488180483,0.8055968736771487,0.06797778829820633,0.4231451745586049,0.4031574167437556,2.9987698550474673,-25.51187025069723,0.06797778829820633,False
