timestamp,ec_true,ec_pred,ec_naive,gap_hours
2025-09-18 09:40:00,0.795,0.5481916419438603,0.47,2.5
2025-09-18 10:30:00,0.968,0.7967092072622074,0.795,0.8333333333333334
2025-09-18 12:00:00,0.98,0.7646742503447121,0.968,1.5
2025-09-18 13:10:00,0.662,0.9063875522132316,0.98,1.1666666666666667
2025-09-18 14:10:00,0.709,0.8390719592257041,0.662,1.0
2025-09-18 15:10:00,0.68,0.6059980853009307,0.709,1.0
2025-09-21 06:30:00,0.501,0.6308551853022792,0.68,63.333333333333336
2025-09-21 07:20:00,4.23,4.591968068301727,0.501,0.8333333333333334
2025-09-21 08:40:00,4.97,4.551784983639331,4.23,1.3333333333333333
2025-09-21 10:30:00,4.52,4.386867083386543,4.97,1.8333333333333333
2025-09-21 11:40:00,4.4,4.611317938189326,4.52,1.1666666666666667
2025-09-21 13:40:00,4.53,4.349114874945505,4.4,2.0
2025-09-21 15:30:00,3.87,3.705110348073671,4.53,1.8333333333333333
