name,blend,ph_min,irr_min,gap_max,dyn_weight,active,ph_r2,ec_r2,ph_mae,ec_mae,sep2_m_pred,sep2_m_err,sep2_m_type,sep2_a_pred,sep2_a_err,sep2_a_type
overnight,0.7,9.0,300,26,0.0,5,0.9435920065018353,0.902550689233784,0.2809996543484671,0.16780357108035693,9.282714018847594,1.282714018847594,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.7,9.0,300,26,4.0,5,0.9262538958353341,0.9153646498921755,0.310859475030404,0.16060091061826967,9.265889142695618,1.2658891426956185,huber,9.501739144325256,0.8382608556747435,base
overnight,0.8,9.0,300,26,0.0,5,0.9446203752902594,0.9139318462720053,0.27792307825388535,0.1653785424788389,9.285801029234896,1.2858010292348965,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.8,9.0,300,26,4.0,5,0.9244982943746634,0.9303564130137261,0.31204858760467047,0.15590013228254473,9.266572599346926,1.266572599346926,huber,9.501739144325256,0.8382608556747435,base
overnight,0.9,9.0,300,26,0.0,5,0.9454256569436402,0.924348658420109,0.2748465021593037,0.16262504736587446,9.288888039622199,1.2888880396221989,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.9,9.0,300,26,4.0,5,0.9224428314547648,0.9448383143825563,0.3132377001789368,0.1503453400009344,9.267256055998232,1.2672560559982315,huber,9.501739144325256,0.8382608556747435,base
overnight,1.0,9.0,300,26,0.0,5,0.9460078514619774,0.9327092421699317,0.273031687384909,0.1594953493041873,9.291975050009501,1.2919750500095013,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,1.0,9.0,300,26,4.0,5,0.9200875070756382,0.957575219112117,0.3144268127532032,0.14378084793426946,9.267939512649537,1.2679395126495372,huber,9.501739144325256,0.8382608556747435,base
overnight,0.4,9.0,1000,26,0.0,5,0.9395010103753663,0.8728091292491397,0.29109397730484515,0.1727751915569124,9.280682329342044,1.280682329342044,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.4,9.0,1000,26,4.0,5,0.9325166524871487,0.876493987426565,0.3031939335733331,0.17008101303596712,9.357854386374832,1.3578543863748322,huber,9.501739144325256,0.8382608556747435,base
overnight,0.5,9.0,1000,26,0.0,5,0.9410459124861071,0.8852269528024264,0.2882335498784216,0.17068365381898223,9.285576675143435,1.2855766751434352,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.5,9.0,1000,26,4.0,5,0.9321187614405044,0.890596102701825,0.3033584952140316,0.16686909298923658,9.382041746434423,1.3820417464344228,huber,9.501739144325256,0.8382608556747435,base
overnight,0.6,9.0,1000,26,0.0,5,0.9422733729237722,0.89843005370008,0.2853731224519982,0.1682220980138576,9.290471020944828,1.2904710209448282,huber,9.501739144325256,0.8382608556747435,base
