mae,rmse,naive_mae,r2,aug22_mae,aug22_rmse,aug22_n,sep21_pred,sep21_err,err_20250817_124000,pred_20250817_124000,err_20250819_173000,pred_20250819_173000,err_20250821_130000,pred_20250821_130000,err_20250820_120000,pred_20250820_120000,err_20250814_162000,pred_20250814_162000,err_20250821_150000,pred_20250821_150000,experiment,runtime_s,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda
0.1840099463693297,0.47795359747923266,0.24989794871794865,0.8349049920045255,0.36923125798584294,0.5820483626106017,11,0.6337525206526874,3.596247479347313,1.5438513305914838,1.1361486694085163,0.8569963404529721,2.210996340452972,0.6001317438963187,1.3381317438963187,0.390555319901671,1.302455319901671,0.05351335506456678,2.4664866449354332,0.18869599962971195,0.639124000370288,cfg18,17.82370376586914,650,0.02,4,1,0.72,0.75,1.0,2.0
0.189052607903062,0.4759393503813125,0.24989794871794865,0.8362935846369126,0.37194275395360693,0.5651821517888058,11,0.6428320213063142,3.587167978693686,1.5050988409622097,1.1749011590377905,0.752439391004379,2.106439391004379,0.504268685642931,1.242268685642931,0.5089406028690978,1.4208406028690979,0.05417286384319375,2.4658271361568063,0.22453197150056248,0.6032880284994375,cfg34,16.683995962142944,450,0.03,5,4,0.72,0.75,1.0,2.0
0.19971296508256,0.49135119360264706,0.24989794871794865,0.8255196584291142,0.3764960837776019,0.5887298880241035,11,0.6395846115748429,3.5904153884251575,1.534489012983541,1.1455109870164593,0.8269792596245713,2.1809792596245714,0.5728372231775947,1.3108372231775947,0.5810705800438786,1.4929705800438786,0.19206467869580468,2.7120646786958047,0.22210209943771708,0.6057179005622829,cfg13,13.513012886047363,450,0.03,3,2,0.72,0.75,1.0,2.0
0.19129036976080677,0.47564960539318196,0.24989794871794865,0.8364928481566944,0.37761886017423474,0.5772785652860859,11,0.6656577766718574,3.564342223328143,1.51647717400802,1.16352282599198,0.7551300918500803,2.1091300918500804,0.5741536213375515,1.3121536213375515,0.5674810054694656,1.4793810054694656,0.07751757140204685,2.597517571402047,0.23007297549257189,0.5977470245074281,cfg25,14.53488278388977,450,0.03,4,4,0.72,0.75,1.0,2.0
0.20040151266059836,0.49590389780524485,0.24989794871794865,0.8222713198622155,0.3814777985752334,0.608386250128091,11,0.6444330044548982,3.5855669955451024,1.6003406359589851,1.079659364041015,0.866794166742888,2.220794166742888,0.6456146552763846,1.3836146552763846,0.5058036352815424,1.4177036352815424,0.13552419630570345,2.3844758036942966,0.2357474817556442,0.5920725182443558,cfg12,15.785468816757202,650,0.02,3,2,0.72,0.75,1.0,2.0
0.19993907728331656,0.4968415101863006,0.24989794871794865,0.8215986163542903,0.38598928295149953,0.5858550075162678,11,0.6234335523244866,3.606566447675514,1.541079651098274,1.138920348901726,0.7768630313004903,2.1308630313004904,0.6044603972156766,1.3424603972156766,0.5644135240114333,1.4763135240114333,0.1456317128382585,2.6656317128382585,0.22875219667533353,0.5990678033246665,cfg16,14.635484457015991,450,0.03,3,4,0.72,0.75,1.0,2.0
0.18981967317892234,0.46667638966455877,0.24989794871794865,0.8426038406842019,0.3863601627566901,0.5666779978009283,11,0.7374409760594263,3.492559023940574,1.4352772674168686,1.2447227325831316,0.8240007425643125,2.1780007425643126,0.652002738840824,1.390002738840824,0.48273054187830267,1.3946305418783027,0.13845732653457565,2.6584573265345757,0.21037859439709305,0.617441405602907,cfg26,14.485021114349365,320,0.045,4,4,0.72,0.75,1.0,2.0
0.19851754033375094,0.4910761189110645,0.24989794871794865,0.8257149635067775,0.38729479985517706,0.6094971936377449,11,0.6538192201350929,3.5761807798649077,1.5862343801557959,1.0937656198442043,0.882867004033022,2.236867004033022,0.6597592743989116,1.3977592743989116,0.517551237297622,1.429451237297622,0.08563294615138428,2.4343670538486157,0.23742329952419328,0.5903967004758067,cfg09,15.47847843170166,650,0.02,3,1,0.72,0.75,1.0,2.0
0.1947142878251473,0.4799250373188735,0.24989794871794865,0.8335402313695718,0.3917931812399729,0.572440550037201,11,0.6216739501559325,3.608326049844068,1.4549145954430354,1.2250854045569648,0.9073392230945228,2.261339223094523,0.581297380013263,1.319297380013263,0.36872716565331987,1.28062716565332,0.1314095718104844,2.6514095718104844,0.17633655081059396,0.651483449189406,cfg32,13.64999008178711,320,0.045,5,2,0.72,0.75,1.0,2.0
0.19953178315175918,0.4958898361584665,0.24989794871794865,0.8222813989218921,0.3930527500797875,0.6134714548661957,11,0.6413891876054318,3.5886108123945686,1.6043289936485823,1.0756710063514179,0.8631687734664655,2.2171687734664656,0.638144740075103,1.376144740075103,0.554587764359023,1.466487764359023,0.02682833047557187,2.546828330475572,0.25129610024319315,0.5765238997568068,cfg15,16.389278173446655,650,0.02,3,4,0.72,0.75,1.0,2.0
0.1938242164713894,0.48916738292931283,0.24989794871794865,0.8270671677813338,0.3979472834529228,0.606239109372649,11,0.6329407897477045,3.597059210252296,1.5794682618201366,1.1005317381798636,0.8442308661570523,2.1982308661570524,0.564843741508184,1.302843741508184,0.6235244414009607,1.5354244414009608,0.2270166118499608,2.747016611849961,0.22886236919822156,0.5989576308017784,cfg10,13.691317081451416,450,0.03,3,1,0.72,0.75,1.0,2.0
0.19076430012520587,0.4786383220902885,0.24989794871794865,0.8344316172226578,0.3991182640104826,0.5965827554236998,11,0.6651584856412299,3.5648415143587706,1.5762561898475098,1.1037438101524903,0.8119272016860482,2.1659272016860482,0.5975307565863017,1.3355307565863017,0.5194041615175512,1.4313041615175512,0.14196394283965708,2.378036057160343,0.2422862295277508,0.5855337704722492,cfg24,18.15144658088684,650,0.02,4,4,0.72,0.75,1.0,2.0
0.20191592329208868,0.49701339093456315,0.24989794871794865,0.8214751602150618,0.39983201157576964,0.6080446151318346,11,0.6464198776427391,3.583580122357261,1.5684632630702804,1.1115367369297198,0.8851443768624438,2.239144376862444,0.6042766537441173,1.3422766537441173,0.5801438648438734,1.4920438648438734,0.15808126218738128,2.6780812621873813,0.22155486366499455,0.6062651363350055,cfg11,12.341497421264648,320,0.045,3,1,0.72,0.75,1.0,2.0
0.21209865563482494,0.5055923840200587,0.24989794871794865,0.8152589027815158,0.4003823435345979,0.6155515921896383,11,0.6669986167803591,3.563001383219641,1.6465740597326517,1.0334259402673485,0.8559413697823732,2.2099413697823733,0.504101821286667,1.242101821286667,0.43435279118298553,1.3462527911829856,0.030129675855333993,2.550129675855334,0.31604102783439414,0.5117789721656059,cfg43,18.1151282787323,800,0.04,3,3,0.72,0.75,0.3,1.5
