,global_xgb_total_gain,global_xgb_gain_importance,global_xgb_split_count,ph_xgb_total_gain,ph_xgb_gain_importance,ph_xgb_split_count,ec_xgb_total_gain,ec_xgb_gain_importance,ec_xgb_split_count,mean_target_xgb_gain_importance
ET0_sum_t0_t1,98.03625471012288,0.009461050313505425,360,90.67693902912133,0.01066569837754152,214,7.35931568100155,0.003955865914291608,146,0.007310782145916564
rad_t1_log,96.28977913620741,0.00929250559170858,657,55.63890707085744,0.006544418098225013,286,40.65087206534998,0.021851134828294507,371,0.01419777646325976
hist_dark_recent_6h,93.47974100331996,0.009021321097393417,350,91.33379870763407,0.010742960218119706,239,2.14594229568589,0.0011535121401919798,111,0.005948236179155843
gap_hours,90.9080267501236,0.008773136198721054,400,70.3278230172744,0.008272173232606298,203,20.5802037328492,0.01106251314454762,197,0.009667343188576958
stage_x_salt_conc,85.27516529726704,0.008229533367584153,255,28.58032437130894,0.0033617049995344774,102,56.694840925958104,0.030475277655796936,153,0.016918491327665708
irr_after_last_salt,81.59603704595793,0.007874476785726782,128,78.28579915394212,0.009208214679066155,72,3.3102378920158,0.0017793580018624358,56,0.005493786340464295
hrs_since_fert,67.57170349048862,0.006521049670686483,362,41.3646760424704,0.004865439469808515,142,26.20702744801822,0.014087109602344293,220,0.009476274536076404
rad_morning,65.95136737001552,0.006364678116041574,301,39.34636914730162,0.004628040051525669,142,26.6049982227139,0.014301031533505235,159,0.009464535792515452
irr_total_t0_t1,64.0405129018951,0.0061802699058531125,288,43.5902682642087,0.0051272204209811155,140,20.4502446376864,0.010992656003328107,148,0.00805993821215461
t1_morning,58.28048084456,0.005624394395686113,35,57.54000117445,0.006768030590147893,30,0.74047967011,0.0003980313407095747,5,0.0035830309654287336
hour_cos_b,57.068102070204866,0.005507393020867011,464,30.07326281011114,0.003537308976190418,261,26.99483926009373,0.01451058347265416,203,0.009023946224422288
hist_irr_recent,53.17173922003595,0.005131372077654509,459,31.2622003826628,0.0036771554429363886,185,21.90953883737315,0.011777072983614328,274,0.0077271142132753585
fert_salt_total_t0_t1,36.783704861654996,0.003549834532564181,111,31.728811787946,0.003732039700847577,60,5.054893073709,0.002717165573192641,51,0.003224602637020109
salt_event_pos,27.76216203966225,0.002679204878292986,256,20.56338857889355,0.002418728538379799,150,7.1987734607687,0.003869569372010737,106,0.0031441489551952678
salt_recency_pressure,25.43334101409614,0.0024544605430551853,161,10.24711433184014,0.0012052968690141822,71,15.186226682256,0.00816307916429351,90,0.0046841880166538456
salt_conc_t0_t1,20.7089252023855,0.0019985278288906206,121,9.419303253546,0.001107927202931418,51,11.2896219488395,0.00606853036185759,70,0.003588228782394504
