name,features,max_rows,feat_mode,ec_weight,spec_mode,weight_mode,blend,gate_gap,n_train,n_spec,wf_ph_mae,wf_ph_r2,wf_ec_mae,wf_ec_r2,ho_ph_mae,ho_ph_r2,ho_ec_mae,ho_ec_r2,sep21_ec_mae,min_wf_r2,min_ho_r2,score
extra_skip8,52,8,pressure,1.0,union,none,0.85,10.0,256,188,0.2643649889192314,0.9472641981451404,0.15458107033525378,0.9595810532617927,0.39684927026670946,0.8769423695633913,0.3715263460445165,0.5771645916491431,2.613695254987239,0.9472641981451404,0.5771645916491431,2.36647150466347
extra_skipNone,52,-1,pressure,1.0,union,none,0.85,10.0,256,188,0.2643649889192314,0.9472641981451404,0.15458107033525378,0.9595810532617927,0.39684927026670946,0.8769423695633913,0.3715263460445165,0.5771645916491431,2.613695254987239,0.9472641981451404,0.5771645916491431,2.36647150466347
extra_shockwide,52,8,pressure,1.0,shockwide,none,0.85,10.0,256,188,0.2643649889192314,0.9472641981451404,0.15458107033525378,0.9595810532617927,0.39684927026670946,0.8769423695633913,0.3715263460445165,0.5771645916491431,2.613695254987239,0.9472641981451404,0.5771645916491431,2.36647150466347
base_skip8,44,8,none,1.0,union,none,0.5,10.0,256,188,0.2670848352602188,0.9485979362974962,0.17869574161263332,0.874860522018781,0.3453200054850978,0.9176135154453724,0.36979026039267826,0.5761525384802217,2.681679002871637,0.874860522018781,0.5761525384802217,2.2161763821167217
base_skipNone,44,-1,none,1.0,union,none,0.5,10.0,256,188,0.2670848352602188,0.9485979362974962,0.17869574161263332,0.874860522018781,0.3453200054850978,0.9176135154453724,0.36979026039267826,0.5761525384802217,2.681679002871637,0.874860522018781,0.5761525384802217,2.2161763821167217
extra_skip4,52,4,pressure,1.0,union,none,0.85,10.0,246,178,0.2632042995058126,0.949974550129011,0.15933742861842998,0.9382188862011643,0.39186275760131684,0.8798144124244921,0.37337118068524405,0.5743226064211078,2.615298226929526,0.9382188862011643,0.5743226064211078,2.3442186569627017
extra_ecw3.0,52,8,pressure,3.0,union,none,0.5,10.0,256,188,0.2630510597097739,0.9490837952185729,0.19702754545355758,0.8751952531942037,0.3967443974671368,0.8944934726539103,0.38499429777060445,0.5731570636490941,2.629112224933952,0.8751952531942037,0.5731570636490941,2.2071432013926686
extra_ecw1.5,52,8,pressure,1.5,union,none,0.7,10.0,256,188,0.2623704936902882,0.9483345116748141,0.16988396782945003,0.9317466567168913,0.38729076074920804,0.8882354072925303,0.3791110858094416,0.5708077379312522,2.6423659273383233,0.9317466567168913,0.5708077379312522,2.324502040637256
extra_ecw2.0,52,8,pressure,2.0,union,none,0.5,10.0,256,188,0.2728151009095022,0.9457410768359729,0.19423189281790257,0.8799587412267631,0.388999286897615,0.8965968311789502,0.3835994516330756,0.5703095133869984,2.6491088155267613,0.8799587412267631,0.5703095133869984,2.2146607269503287
base_skip4,44,4,none,1.0,union,none,0.5,10.0,246,178,0.2639138660280684,0.9515433952531327,0.1773055078753476,0.8780772839404564,0.3436490382281062,0.9157680552257106,0.3759007785739689,0.561153508881516,2.7262034733496,0.8780772839404564,0.561153508881516,2.2066668194725656
extra_skip8,52,8,pressure,1.0,union,none,0.7,10.0,256,188,0.26292667390528046,0.9482284435296331,0.16747850981450152,0.9345788784639175,0.38878186344187915,0.8877758283886413,0.3799751834824896,0.558996806411935,2.6981836293669703,0.9345788784639175,0.558996806411935,2.318663824680372
