kind,blend,gmin,gmax,wf_active,ho_active,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae,sep21_ec_mae,min_wf,min_ho,ok_hold
huber,0.85,0.75,10,1,4,0.8834436052246825,0.8012117209566187,0.32377212697832886,0.19835846832501325,0.9373809657432196,0.9609590311843176,0.3093954670000282,0.1504803572527915,0.48857997147276977,0.8012117209566187,0.9373809657432196,True
huber,0.85,0.75,26,1,4,0.8834436052246825,0.8012117209566187,0.32377212697832886,0.19835846832501325,0.9373809657432196,0.9609590311843176,0.3093954670000282,0.1504803572527915,0.48857997147276977,0.8012117209566187,0.9373809657432196,True
huber,0.9,0.0,10,1,4,0.8798794055211581,0.8002092961961808,0.3253805580988961,0.1985673538292487,0.932621541031461,0.9578977340172824,0.3160570495454846,0.15959470593766129,0.5797234583214674,0.8002092961961808,0.932621541031461,True
huber,0.9,0.0,26,1,4,0.8798794055211581,0.8002092961961808,0.3253805580988961,0.1985673538292487,0.932621541031461,0.9578977340172824,0.3160570495454846,0.15959470593766129,0.5797234583214674,0.8002092961961808,0.932621541031461,True
huber,0.9,0.75,10,1,4,0.8798794055211581,0.8002092961961808,0.3253805580988961,0.1985673538292487,0.932621541031461,0.9578977340172824,0.3160570495454846,0.15959470593766129,0.5797234583214674,0.8002092961961808,0.932621541031461,True
huber,0.9,0.75,26,1,4,0.8798794055211581,0.8002092961961808,0.3253805580988961,0.1985673538292487,0.932621541031461,0.9578977340172824,0.3160570495454846,0.15959470593766129,0.5797234583214674,0.8002092961961808,0.932621541031461,True
ridge,0.8,0.0,10,1,4,0.8959319380474284,0.7994137085377493,0.3176928583044828,0.19873272276831008,0.954521188540381,0.937895433820554,0.28040942634085797,0.18921258212534722,0.8759022201983269,0.7994137085377493,0.937895433820554,True
ridge,0.8,0.0,26,1,4,0.8959319380474284,0.7994137085377493,0.3176928583044828,0.19873272276831008,0.954521188540381,0.937895433820554,0.28040942634085797,0.18921258212534722,0.8759022201983269,0.7994137085377493,0.937895433820554,True
ridge,0.8,0.75,10,1,4,0.8959319380474284,0.7994137085377493,0.3176928583044828,0.19873272276831008,0.954521188540381,0.937895433820554,0.28040942634085797,0.18921258212534722,0.8759022201983269,0.7994137085377493,0.937895433820554,True
ridge,0.8,0.75,26,1,4,0.8959319380474284,0.7994137085377493,0.3176928583044828,0.19873272276831008,0.954521188540381,0.937895433820554,0.28040942634085797,0.18921258212534722,0.8759022201983269,0.7994137085377493,0.937895433820554,True
ridge,0.85,0.0,10,1,4,0.893334619855468,0.7983222382590102,0.3190218620229963,0.19895899926596575,0.953340315885784,0.9554562969145782,0.282954845117373,0.16681657249800597,0.6519421239249142,0.7983222382590102,0.953340315885784,True
ridge,0.85,0.0,26,1,4,0.893334619855468,0.7983222382590102,0.3190218620229963,0.19895899926596575,0.953340315885784,0.9554562969145782,0.282954845117373,0.16681657249800597,0.6519421239249142,0.7983222382590102,0.953340315885784,True
ridge,0.85,0.75,10,1,4,0.893334619855468,0.7983222382590102,0.3190218620229963,0.19895899926596575,0.953340315885784,0.9554562969145782,0.282954845117373,0.16681657249800597,0.6519421239249142,0.7983222382590102,0.953340315885784,True
ridge,0.85,0.75,26,1,4,0.893334619855468,0.7983222382590102,0.3190218620229963,0.19895899926596575,0.953340315885784,0.9554562969145782,0.282954845117373,0.16681657249800597,0.6519421239249142,0.7983222382590102,0.953340315885784,True
huber,1.0,0.0,10,1,4,0.8724245187624419,0.7983222032701233,0.3285974202882904,0.19895900650867904,0.9213866874652475,0.9113183249555913,0.3293802144152081,0.2110777667052644,1.0945540659974986,0.7983222032701233,0.9113183249555913,True
huber,1.0,0.0,26,1,4,0.8724245187624419,0.7983222032701233,0.3285974202882904,0.19895900650867904,0.9213866874652475,0.9113183249555913,0.3293802144152081,0.2110777667052644,1.0945540659974986,0.7983222032701233,0.9113183249555913,True
huber,1.0,0.75,10,1,4,0.8724245187624419,0.7983222032701233,0.3285974202882904,0.19895900650867904,0.9213866874652475,0.9113183249555913,0.3293802144152081,0.2110777667052644,1.0945540659974986,0.7983222032701233,0.9113183249555913,True
huber,1.0,0.75,26,1,4,0.8724245187624419,0.7983222032701233,0.3285974202882904,0.19895900650867904,0.9213866874652475,0.9113183249555913,0.3293802144152081,0.2110777667052644,1.0945540659974986,0.7983222032701233,0.9113183249555913,True
ridge,0.9,0.0,10,1,4,0.8906630008884148,0.7972817868142512,0.32035086579324984,0.19917406444492283,0.9518459124171343,0.9675628692679347,0.28550026413836027,0.14646629273713868,0.4484393263162413,0.7972817868142512,0.9518459124171343,True
ridge,0.9,0.0,26,1,4,0.8906630008884148,0.7972817868142512,0.32035086579324984,0.19917406444492283,0.9518459124171343,0.9675628692679347,0.28550026413836027,0.14646629273713868,0.4484393263162413,0.7972817868142512,0.9518459124171343,True
