ec0_max,gap_max,walk_mae,walk_r2,hold_mae,hold_r2,wf_gated_n,hold_gated_n,wf_gated_mae,sep21_mae,sep21_0720_pred,sep21_0720_err,current
0.8,26.0,0.1328277477522633,0.9606769772250363,0.2103284017591641,0.9088792445937698,2,4,0.13568754824006146,0.1392722307767371,4.240669990944981,0.010669990944980334,False
0.8,999.0,0.1328277477522633,0.9606769772250363,0.2103284017591641,0.9088792445937698,2,4,0.13568754824006146,0.1392722307767371,4.240669990944981,0.010669990944980334,False
1.0,6.0,0.14286075471648113,0.955112116224662,0.2550346604272854,0.8298491167949609,4,4,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
1.0,8.0,0.14286075471648113,0.955112116224662,0.23603321914918304,0.8748380918736571,4,5,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
1.0,10.0,0.14286075471648113,0.955112116224662,0.21848371268825068,0.9078925639588499,4,6,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
1.0,12.0,0.14286075471648113,0.955112116224662,0.21848371268825068,0.9078925639588499,4,6,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
1.0,15.0,0.14286075471648113,0.955112116224662,0.21848371268825068,0.9078925639588499,4,6,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
1.0,20.0,0.14286075471648113,0.955112116224662,0.21848371268825068,0.9078925639588499,4,6,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
1.0,26.0,0.14286075471648113,0.955112116224662,0.21848371268825068,0.9078925639588499,4,6,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
1.0,999.0,0.14286075471648113,0.955112116224662,0.21848371268825068,0.9078925639588499,4,6,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
1.2,6.0,0.14286075471648113,0.955112116224662,0.2550346604272854,0.8298491167949609,4,4,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
1.2,8.0,0.14286075471648113,0.955112116224662,0.23603321914918304,0.8748380918736571,4,5,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
1.2,10.0,0.14286075471648113,0.955112116224662,0.21848371268825068,0.9078925639588499,4,6,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
1.2,12.0,0.14286075471648113,0.955112116224662,0.21848371268825068,0.9078925639588499,4,6,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
1.2,15.0,0.14286075471648113,0.955112116224662,0.21848371268825068,0.9078925639588499,4,6,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
1.2,20.0,0.14286075471648113,0.955112116224662,0.21848371268825068,0.9078925639588499,4,6,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
1.2,26.0,0.14286075471648113,0.955112116224662,0.21848371268825068,0.9078925639588499,4,6,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
1.2,999.0,0.14286075471648113,0.955112116224662,0.21848371268825068,0.9078925639588499,4,6,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
1.5,6.0,0.14286075471648113,0.955112116224662,0.2550346604272854,0.8298491167949609,4,4,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
1.5,8.0,0.14286075471648113,0.955112116224662,0.23603321914918304,0.8748380918736571,4,5,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
1.5,10.0,0.14286075471648113,0.955112116224662,0.21848371268825068,0.9078925639588499,4,6,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
1.5,12.0,0.14286075471648113,0.955112116224662,0.21848371268825068,0.9078925639588499,4,6,0.36038540386682993,0.1392722307767371,4.240669990944981,0.010669990944980334,False
