skip_cap,feature_set,xgb_set,warmup,max_rows,train_mode,pred_mode,shock_weight,blend,feature_count,n_spec_final,n_shock_final,wf_active,wf_ph_r2,wf_ec_r2,wf_min_r2,wf_ph_mae,wf_ec_mae,ho_active,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae
72.0,current_union,current,40,4,chem_event,salt_shock_strict,8.0,1.0,44,323,12,2,0.748293294389684,0.8797585174979328,0.748293294389684,0.5142626160588075,0.16486049697783384,4,0.9363551655683825,0.7296175145412704,0.30424685704542137,0.2912814844884119
72.0,current_union,current,40,4,chem_event,salt_shock_strict,8.0,0.0,44,323,12,2,0.7472487031684355,0.8272008942008016,0.7472487031684355,0.5170662565529346,0.18040974648165486,4,0.9379704695008423,0.5142913107438888,0.302659823346883,0.37362688321010357
48.0,current_union,current,35,4,chem_event,salt_shock_strict,8.0,1.0,44,251,12,2,0.7467806153577936,0.8814841784871799,0.7467806153577936,0.5252262013782286,0.1816423078980048,4,0.9213697728144552,0.721646641241134,0.325595952538068,0.29319499522189935
48.0,current_union,current,35,4,chem_event,salt_shock_strict,8.0,0.8,44,251,12,2,0.7466699944178234,0.8684976616963009,0.7466699944178234,0.5232818352650987,0.18247034080472516,4,0.9260500020688449,0.663489130429433,0.3202986090585534,0.31873080784912067
48.0,current_union,current,35,4,chem_event,salt_shock_strict,8.0,1.2,44,251,12,2,0.7455923672775748,0.894901826485945,0.7455923672775748,0.5290989782692412,0.18065636265637966,4,0.9164056445887511,0.7767578088597011,0.3308932960175826,0.26430328477205256
72.0,current_union,current,40,8,chem_event,salt_shock_strict,8.0,1.0,44,446,12,2,0.7441888404534468,0.930878995939997,0.7441888404534468,0.5167317824980863,0.14404614721701806,4,0.911663681790118,0.6751545164764896,0.3273517311195956,0.3132404780875545
48.0,current_union,current,35,12,chem_event,salt_shock_strict,8.0,0.8,44,343,12,2,0.7437413036978924,0.8974601715040933,0.7437413036978924,0.5309044376517246,0.18456029055000583,4,0.8987846144409097,0.5964435492702392,0.34264668611539084,0.3362925083719942
48.0,current_union,current,35,8,chem_event,salt_shock_strict,8.0,0.8,44,339,12,2,0.7417658337612623,0.8931901069808769,0.7417658337612623,0.533258588235381,0.18033664714835043,4,0.9032773004600907,0.5979363317918215,0.3225976091925557,0.3349488837504917
96.0,current_union,current,35,4,chem_event,salt_shock_strict,8.0,0.8,44,364,12,2,0.7405889120476786,0.7995097822287061,0.7405889120476786,0.5346026312722931,0.2252849121077269,4,0.9377330163836112,0.6439288189877639,0.29495461984955434,0.31981871979764254
72.0,current_union,current,40,4,chem_event,salt_shock_strict,8.0,1.2,44,323,12,2,0.7405309018775568,0.893315411892191,0.7405309018775568,0.5219216257061277,0.1615843883875152,4,0.9360011496625794,0.772806100437903,0.30456426370131,0.26892619427162234
48.0,current_union,current,35,12,chem_event,salt_shock_strict,8.0,1.0,44,343,12,2,0.7403704078072983,0.923651686747147,0.7403704078072983,0.5364757607091676,0.1751818738262558,4,0.8808903203636789,0.6263097313830603,0.35673122841480104,0.3211489438639005
48.0,current_union,current,35,8,chem_event,salt_shock_strict,8.0,1.0,44,339,12,2,0.7380840237955799,0.9179986942837479,0.7380840237955799,0.5388313797464377,0.17214558066768604,4,0.8877871243530535,0.6273356525567976,0.3349612953005172,0.31936912886489066
72.0,current_union,current,40,12,chem_event,salt_shock_strict,8.0,1.2,44,509,12,2,0.7373601796669667,0.9788490951429372,0.7373601796669667,0.5196474136618122,0.11940145321447734,4,0.8842531967313003,0.6386567235163131,0.3277975524234247,0.3216309322577096
96.0,current_union,current,35,4,chem_event,salt_shock_strict,8.0,0.0,44,364,12,2,0.7371472335319055,0.7867574377014108,0.7371472335319055,0.540828368949729,0.23014238643210108,4,0.9399051453212278,0.5268127385298567,0.29115210163593286,0.3629060886990021
72.0,current_union,current,35,12,chem_event,salt_shock_strict,8.0,0.8,44,509,12,2,0.7366951982986286,0.9030017112793044,0.7366951982986286,0.5268577084925768,0.1805792162338973,4,0.911087934995682,0.6137028580933236,0.3074364684812344,0.34386469693706023
96.0,current_union,current,35,4,chem_event,salt_shock_strict,8.0,1.0,44,364,12,2,0.7349364487903284,0.8029376012970548,0.7349364487903284,0.5416675491155278,0.22381137956073985,4,0.9371397098736477,0.6737670266726083,0.2959052496357904,0.3069340599856149
48.0,current_union,current,35,12,chem_event,salt_shock_strict,8.0,1.2,44,343,12,2,0.734654053157456,0.9469480154879708,0.734654053157456,0.5420470837666105,0.16582839284068163,4,0.8607772378841549,0.6529482512752907,0.3708157707142112,0.3042653783525483
72.0,current_union,current,35,12,chem_event,salt_shock_strict,8.0,0.0,44,509,12,2,0.7339442291492344,0.8171617397034169,0.7339442291492344,0.530181599390265,0.20194604596184176,4,0.949928794222508,0.547432735656848,0.2667143006492406,0.37391519226820147
48.0,current_union,current,35,12,chem_event,salt_shock_strict,8.0,0.0,44,343,12,2,0.7337702996677871,0.8195212579720124,0.7337702996677871,0.5430886114380522,0.20530842073161965,4,0.9481739062088331,0.46991204242137186,0.28630851808190333,0.3826008839163425
