experiment,feature_set,params,capacity_ml,et_scale,n_features,mae,rmse,naive_mae,r2,aug22_mae,aug22_rmse,aug22_n,aug_all_mae,aug_all_n,sep21_0720_pred,sep21_0720_err
base_plus_pot35|base|cap4000|et250,base_plus_pot35,base,4000,250,35,0.2239802000636,0.4883668586341367,0.24673468354430375,0.8292308692685418,0.4193007894464809,0.5304891191967642,11,0.2718819921419489,21,0.7704005667115438,3.4595994332884565
base_plus_pot43|base|cap1200|et80,base_plus_pot43,base,1200,80,43,0.20610793970453536,0.49983982334869914,0.24673468354430375,0.8211130300943121,0.4600371491556016,0.6094247519178385,11,0.30172621681065664,21,0.44729322010272177,3.7827067798972784
base_plus_pot43|base|cap1200|et150,base_plus_pot43,base,1200,150,43,0.21977889022122338,0.4996736808547875,0.24673468354430375,0.8212319313361189,0.4267005616863104,0.5783093941876989,11,0.28913684534676076,21,0.5371988900252296,3.692801109974771
base_plus_pot43|base|cap1200|et250,base_plus_pot43,base,1200,250,43,0.20728528972762378,0.48084551821926264,0.24673468354430375,0.8344503968362617,0.34839070156835444,0.4489794940113384,11,0.23440439972938965,21,0.7055635921105133,3.524436407889487
base_plus_pot43|base|cap1800|et80,base_plus_pot43,base,1800,80,43,0.21139778638299073,0.49758753215114765,0.24673468354430375,0.8227215365696963,0.44714224588789214,0.5890975051571826,11,0.29559223277271657,21,0.48450372208548603,3.7454962779145142
base_plus_pot43|base|cap1800|et150,base_plus_pot43,base,1800,150,43,0.21723149656813298,0.4948223606768186,0.24673468354430375,0.8246863899662757,0.4117262847569336,0.5565539765889506,11,0.2808717779528059,21,0.5580981950352888,3.671901804964712
base_plus_pot43|base|cap1800|et250,base_plus_pot43,base,1800,250,43,0.23020324702194886,0.4948698694339207,0.24673468354430375,0.8246527240198055,0.4023929166012715,0.5153647830569891,11,0.2626932422049058,21,0.814464840805158,3.4155351591948424
base_plus_pot43|base|cap2500|et80,base_plus_pot43,base,2500,80,43,0.21327145089201507,0.4943088573837709,0.24673468354430375,0.8250500655469661,0.4391702919283928,0.574768395042679,11,0.29004889862740557,21,0.5196181329961703,3.71038186700383
base_plus_pot43|base|cap2500|et150,base_plus_pot43,base,2500,150,43,0.2215495384861866,0.49932260950240853,0.24673468354430375,0.8214830484242608,0.4083456911171199,0.5584739226081604,11,0.2788816543320536,21,0.5554335379762034,3.674566462023797
base_plus_pot43|base|cap2500|et250,base_plus_pot43,base,2500,250,43,0.2259121497574495,0.477070699484837,0.24673468354430375,0.8370394479640516,0.38520323704645404,0.48862269760030086,11,0.25473806560724566,21,0.8723505990058317,3.357649400994169
base_plus_pot43|base|cap3200|et80,base_plus_pot43,base,3200,80,43,0.20912275510637884,0.4909138699632855,0.24673468354430375,0.8274449777127619,0.4370910217736699,0.5742286022336841,11,0.29002800430683934,21,0.5203359776892149,3.7096640223107853
base_plus_pot43|base|cap3200|et150,base_plus_pot43,base,3200,150,43,0.21383355184997474,0.489998000622092,0.24673468354430375,0.8280882287726481,0.39992034837243823,0.5512446790307987,11,0.2745849065531288,21,0.5542184358371945,3.675781564162806
base_plus_pot43|base|cap3200|et250,base_plus_pot43,base,3200,250,43,0.23049665867918095,0.4946292656719365,0.24673468354430375,0.8248231888662052,0.35519979484939523,0.4731416848119345,11,0.23884574832346428,21,0.8935242104815846,3.336475789518416
base_plus_pot43|base|cap4000|et80,base_plus_pot43,base,4000,80,43,0.21148789623492803,0.49464927317685475,0.24673468354430375,0.8248090169518512,0.4508981862529028,0.5800602003373857,11,0.29738016602283296,21,0.49359006229044683,3.7364099377095537
base_plus_pot43|base|cap4000|et150,base_plus_pot43,base,4000,150,43,0.2148596621754991,0.4956753992456701,0.24673468354430375,0.8240814125478991,0.382892220793761,0.53899321012291,11,0.26424065898870736,21,0.5488279717787405,3.68117202822126
base_plus_pot43|base|cap4000|et250,base_plus_pot43,base,4000,250,43,0.22255881016889215,0.473890152896468,0.24673468354430375,0.8392050637050039,0.36830214202350026,0.4726076178201723,11,0.24563069880929994,21,0.9219885841583522,3.3080114158416483
compact25_pot|base|cap1200|et80,compact25_pot,base,1200,80,25,0.20629374590553826,0.504758027445955,0.24673468354430375,0.8175753725386071,0.5046229824253637,0.6527477309507458,11,0.3205702143654512,21,0.4682446424529529,3.7617553575470475
compact25_pot|base|cap1200|et150,compact25_pot,base,1200,150,25,0.21618326574409252,0.5024511973609141,0.24673468354430375,0.8192389855197137,0.4525796548006703,0.5804615830935709,11,0.29881041723208623,21,0.5517885840739756,3.678211415926025
compact25_pot|base|cap1200|et250,compact25_pot,base,1200,250,25,0.20020933493794404,0.4562613719085829,0.24673468354430375,0.8509457364727553,0.4109557565558653,0.5394367427752058,11,0.2684588783965537,21,0.8625880833554476,3.367411916644553
compact25_pot|base|cap1800|et80,compact25_pot,base,1800,80,25,0.20538794407540586,0.5049059896908866,0.24673468354430375,0.8174684067764564,0.5002969549942927,0.6476055935225794,11,0.3161032663521211,21,0.47698520052137644,3.753014799478624
