timestamp,train_class_acc,train_class_f1_macro,train_n_drop,train_n_stable,train_n_jump,experiment
2025-09-16 08:50:00,0.9226190476190477,0.9219919711139518,42,83,43,proba_feature_t18|base
2025-09-16 10:00:00,0.9190751445086706,0.9189720269573566,42,85,46,proba_feature_t18|base
2025-09-16 12:10:00,0.9044943820224719,0.9037409908953175,44,87,47,proba_feature_t18|base
2025-09-16 13:50:00,0.8961748633879781,0.8956527298796574,46,89,48,proba_feature_t18|base
2025-09-17 08:50:00,0.8877005347593583,0.8884697450584368,49,90,48,proba_feature_t18|base
2025-09-17 11:50:00,0.8952879581151832,0.8951076182384594,53,90,48,proba_feature_t18|base
2025-09-17 13:30:00,0.9072164948453608,0.9066666666666666,53,92,49,proba_feature_t18|base
2025-09-17 15:20:00,0.9086294416243654,0.9071928607190225,55,92,50,proba_feature_t18|base
2025-09-18 07:10:00,0.91,0.9082765760872088,55,92,53,proba_feature_t18|base
2025-09-18 09:40:00,0.8921568627450981,0.8891646456896981,55,92,57,proba_feature_t18|base
2025-09-18 10:30:00,0.8947368421052632,0.8941120607787273,55,92,62,proba_feature_t18|base
2025-09-18 12:00:00,0.8925233644859814,0.8915181453546369,55,93,66,proba_feature_t18|base
2025-09-18 13:10:00,0.867579908675799,0.866463272387951,57,94,68,proba_feature_t18|base
2025-09-18 14:10:00,0.8794642857142857,0.8760354085262577,58,96,70,proba_feature_t18|base
2025-09-18 15:10:00,0.8602620087336245,0.8569793411501955,59,99,71,proba_feature_t18|base
2025-09-21 06:30:00,0.8739130434782608,0.8716042911161471,60,99,71,proba_feature_t18|base
2025-09-21 07:20:00,0.8701298701298701,0.8672245174992192,60,99,72,proba_feature_t18|base
2025-09-21 08:40:00,0.8620689655172413,0.8586329856039031,60,100,72,proba_feature_t18|base
2025-09-21 10:30:00,0.8595744680851064,0.8550558866614493,60,102,73,proba_feature_t18|base
2025-09-21 11:40:00,0.8571428571428571,0.852559845294976,60,105,73,proba_feature_t18|base
2025-09-21 13:40:00,0.8553719008264463,0.8510181027422407,60,109,73,proba_feature_t18|base
2025-09-21 15:30:00,0.8582995951417004,0.8522878325833991,61,113,73,proba_feature_t18|base
2025-08-14 12:30:00,1.0,1.0,8,15,14,proba_feature_t25|base
2025-08-14 16:20:00,1.0,1.0,8,16,14,proba_feature_t25|base
2025-08-17 08:10:00,1.0,1.0,9,16,14,proba_feature_t25|base
2025-08-17 12:40:00,0.975,0.978494623655914,9,16,15,proba_feature_t25|base
2025-08-18 08:30:00,0.975609756097561,0.978494623655914,10,16,15,proba_feature_t25|base
2025-08-18 14:40:00,0.9767441860465116,0.9797979797979798,10,17,16,proba_feature_t25|base
2025-08-19 12:30:00,0.9772727272727273,0.9797979797979798,11,17,16,proba_feature_t25|base
2025-08-19 17:30:00,0.9777777777777777,0.9803751803751805,11,18,16,proba_feature_t25|base
2025-08-20 12:00:00,0.9787234042553191,0.9803751803751805,13,18,16,proba_feature_t25|base
2025-08-20 12:20:00,0.98,0.9808899808899808,15,19,16,proba_feature_t25|base
2025-08-21 13:00:00,0.9803921568627451,0.9813519813519814,15,20,16,proba_feature_t25|base
2025-08-21 15:00:00,0.9807692307692307,0.9817689085981769,15,21,16,proba_feature_t25|base
2025-08-25 09:00:00,0.9811320754716981,0.9817689085981769,16,21,16,proba_feature_t25|base
2025-08-25 16:00:00,0.9814814814814815,0.9821470519144938,16,22,16,proba_feature_t25|base
2025-08-26 12:00:00,1.0,1.0,16,23,16,proba_feature_t25|base
2025-08-26 16:30:00,1.0,1.0,16,25,16,proba_feature_t25|base
2025-08-27 11:40:00,0.9827586206896551,0.983673469387755,17,25,16,proba_feature_t25|base
2025-08-27 14:10:00,0.9833333333333333,0.9839402427637722,17,26,17,proba_feature_t25|base
2025-08-28 13:30:00,0.9838709677419355,0.9841868823000898,17,27,18,proba_feature_t25|base
2025-08-28 15:00:00,1.0,1.0,19,27,18,proba_feature_t25|base
2025-08-31 08:20:00,0.9846153846153847,0.981981981981982,19,28,18,proba_feature_t25|base
