experiment,interval,t0,t1,ec0,ec_true,phys_water_t0_frac,phys_water_t1_frac,phys_water_min_frac,phys_leach_ml,phys_leach_salt_ecml,phys_salt_added_ecml,phys_theory_ec_t1,phys_theory_ec_delta,phys_salt_add_per_water,phys_dry_salt_pressure
replace10|huber2_cfg19|cap2500|et150|alpha4,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,0.9918365169018816,0.9610000059067008,0.8927792611915327,1842.7938211640462,351.22125706545796,1302.1999999999998,0.39582881876771525,0.39582881876771525,0.2615074056429997,0.0021348112859994276
replace10|huber2_cfg19|cap2500|et150|alpha4,aug_preflush,2025-08-17 08:10:00,2025-08-18 10:00:00,1.145,,0.971128623388441,0.9598937939669687,0.9172696529429757,575.1271073368889,830.9290830844014,2664.3999999999996,1.92243209836765,0.7774320983676499,0.7021763784257462,0.02027279866927031
replace10|huber2_cfg19|cap2500|et150|alpha8,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.8934721732047932,0.9914154825684058,0.8802364771362398,0.5911928405994331,1.8472063388035518,7813.199999999999,3.15159604868173,3.15159604868173,3.0837353828051,0.32850362874171235
replace10|huber2_cfg19|cap2500|et150|alpha8,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,0.9918365169018816,0.9610000059067008,0.8927792611915327,1842.7938211640462,702.4425141309159,2604.3999999999996,0.7916576375354305,0.7916576375354305,0.5230148112859994,0.004269622571998855
replace10|huber2_cfg19|cap2500|et150|alpha8,aug_preflush,2025-08-17 08:10:00,2025-08-18 10:00:00,1.145,,0.971128623388441,0.9598937939669687,0.9172696529429757,575.1271073368889,1102.995046004956,5328.799999999999,2.919348237263644,1.774348237263644,1.4043527568514924,0.04054559733854062
replace10|huber2_cfg19|cap2500|et250|alpha4,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.3334678505212389,0.4171008280209924,0.31140835707364933,0.0,0.0,3906.5999999999995,3.7464322653450908,3.7464322653450908,3.445977478235386,2.296854775623632
replace10|huber2_cfg19|cap2500|et250|alpha4,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,0.3210286366520763,0.8314969991028065,0.2623408997569314,0.0,0.0,1302.1999999999998,0.6264364159606524,0.6264364159606524,0.39429879530854245,0.267717590617085
replace10|huber2_cfg19|cap2500|et250|alpha4,aug_preflush,2025-08-17 08:10:00,2025-08-18 10:00:00,1.145,,0.29453642842045186,0.2947853397959241,0.23472505693853704,0.0,0.0,2664.3999999999996,4.759409716618534,3.614409716618534,1.266947311721499,0.8937851755301558
replace10|huber2_cfg19|cap2500|et250|alpha8,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.3334678505212389,0.4171008280209924,0.31140835707364933,0.0,0.0,7813.199999999999,7.4928645306901815,7.4928645306901815,6.891954956470772,4.593709551247264
replace10|huber2_cfg19|cap2500|et250|alpha8,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,0.3210286366520763,0.8314969991028065,0.2623408997569314,0.0,0.0,2604.3999999999996,1.2528728319213047,1.2528728319213047,0.7885975906170849,0.53543518123417
replace10|huber2_cfg19|cap2500|et250|alpha8,aug_preflush,2025-08-17 08:10:00,2025-08-18 10:00:00,1.145,,0.29453642842045186,0.2947853397959241,0.23472505693853704,0.0,0.0,5328.799999999999,8.374786250396676,7.2297862503966766,2.533894623442998,1.7875703510603116
replace10|huber2_cfg19|cap4000|et150|alpha4,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.9334201082529956,0.9946346766052536,0.9251477982101497,0.5911928405989784,0.5773031633967284,3906.5999999999995,0.9817732049540256,0.9817732049540256,0.9684951658609477,0.06448230330051898
replace10|huber2_cfg19|cap4000|et150|alpha4,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,0.994897823063676,0.975625003691688,0.932987038244708,1842.7938211640462,238.36927180940535,1302.1999999999998,0.27260236365538587,0.27260236365538587,0.20096946570635832,0.0010253817728323338
replace10|huber2_cfg19|cap4000|et150|alpha4,aug_preflush,2025-08-17 08:10:00,2025-08-18 10:00:00,1.145,,0.9819553896177756,0.9749336212293555,0.9482935330893598,575.1271073368889,772.157322534636,2664.3999999999996,1.638470102676767,0.49347010267676694,0.5032403296852304,0.009080775677792127
replace10|huber2_cfg19|cap4000|et150|alpha8,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.9334201082529956,0.9946346766052536,0.9251477982101497,0.5911928405989784,1.1546063267934568,7813.199999999999,1.9635464099080513,1.9635464099080513,1.9369903317218955,0.12896460660103795
replace10|huber2_cfg19|cap4000|et150|alpha8,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,0.994897823063676,0.975625003691688,0.932987038244708,1842.7938211640462,476.7385436188107,2604.3999999999996,0.5452047273107717,0.5452047273107717,0.40193893141271664,0.0020507635456646677
replace10|huber2_cfg19|cap4000|et150|alpha8,aug_preflush,2025-08-17 08:10:00,2025-08-18 10:00:00,1.145,,0.9819553896177756,0.9749336212293555,0.9482935330893598,575.1271073368889,950.6690580881348,5328.799999999999,2.2759207481145265,1.1309207481145265,1.0064806593704607,0.018161551355584254
replace10|huber2_cfg19|cap4000|et250|alpha4,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.5834174065757713,0.6356880175131173,0.5696302231710278,0.0,0.0,3906.5999999999995,1.5363668546416276,1.5363668546416276,1.4833295569739862,0.6179292737470353
replace10|huber2_cfg19|cap4000|et250|alpha4,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,0.2306428979075476,0.5496856244392543,0.19396306234808203,0.0,0.0,1302.1999999999998,0.5922476148654975,0.5922476148654975,0.3804741449921737,0.2927204856122823
replace10|huber2_cfg19|cap4000|et250|alpha4,aug_preflush,2025-08-17 08:10:00,2025-08-18 10:00:00,1.145,,0.2140852677627823,0.21424083737245242,0.17670316058658553,0.0,0.0,2664.3999999999996,4.253286361106957,3.108286361106957,1.1985563318711352,0.9419630786337251
replace10|huber2_cfg19|cap4000|et250|alpha8,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.5834174065757713,0.6356880175131173,0.5696302231710278,0.0,0.0,7813.199999999999,3.072733709283255,3.072733709283255,2.9666591139479723,1.2358585474940706
replace10|huber2_cfg19|cap4000|et250|alpha8,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,0.2306428979075476,0.5496856244392543,0.19396306234808203,0.0,0.0,2604.3999999999996,1.184495229730995,1.184495229730995,0.7609482899843474,0.5854409712245646
replace10|huber2_cfg19|cap4000|et250|alpha8,aug_preflush,2025-08-17 08:10:00,2025-08-18 10:00:00,1.145,,0.2140852677627823,0.21424083737245242,0.17670316058658553,0.0,0.0,5328.799999999999,7.362404156618563,6.217404156618564,2.3971126637422704,1.8839261572674502
add10|huber2_cfg19|cap1200|et250|alpha4,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.22922823929976655,0.40346360909091966,0.18327096128395487,0.0,0.0,3906.5999999999995,8.068881372808965,8.0,6.7932140325387245,5.236017540673406
add10|huber2_cfg19|cap1200|et250|alpha4,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,0.5821429930251593,0.8645833538427111,0.4598768744936073,937.2424731457636,435.6581839206302,1302.1999999999998,0.8352210077335264,0.8352210077335264,0.4071192289106519,0.17011762247451004
add10|huber2_cfg19|cap1200|et250|alpha4,aug_preflush,2025-08-17 08:10:00,2025-08-18 10:00:00,1.145,,0.5269508925426084,0.5274694579081753,0.4023438686219523,0.0,0.0,2664.3999999999996,5.3532807690757,4.208280769075699,1.3328612738958905,0.630508835980973
add10|huber2_cfg19|cap1200|et250|alpha8,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.22922823929976655,0.40346360909091966,0.18327096128395487,0.0,0.0,7813.199999999999,12.0,8.0,12.0,9.249261128402802
add10|huber2_cfg19|cap1200|et250|alpha8,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,0.5821429930251593,0.8645833538427111,0.4598768744936073,937.2424731457636,871.3163678412604,2604.3999999999996,1.6704420154670527,1.6704420154670527,0.8142384578213038,0.3402352449490201
add10|huber2_cfg19|cap1200|et250|alpha8,aug_preflush,2025-08-17 08:10:00,2025-08-18 10:00:00,1.145,,0.5269508925426084,0.5274694579081753,0.4023438686219523,0.0,0.0,5328.799999999999,9.562687209665972,8.0,2.665722547791781,1.261017671961946
add10|huber2_cfg19|cap2500|et150|alpha4,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.8934721732047932,0.9914154825684058,0.8802364771362398,0.5911928405994331,0.9236031694017759,3906.5999999999995,1.575798024340865,1.575798024340865,1.54186769140255,0.16425181437085618
add10|huber2_cfg19|cap2500|et150|alpha4,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,0.9918365169018816,0.9610000059067008,0.8927792611915327,1842.7938211640462,351.22125706545796,1302.1999999999998,0.39582881876771525,0.39582881876771525,0.2615074056429997,0.0021348112859994276
add10|huber2_cfg19|cap2500|et150|alpha4,aug_preflush,2025-08-17 08:10:00,2025-08-18 10:00:00,1.145,,0.971128623388441,0.9598937939669687,0.9172696529429757,575.1271073368889,830.9290830844014,2664.3999999999996,1.92243209836765,0.7774320983676499,0.7021763784257462,0.02027279866927031
add10|huber2_cfg19|cap2500|et250|alpha4,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.3334678505212389,0.4171008280209924,0.31140835707364933,0.0,0.0,3906.5999999999995,3.7464322653450908,3.7464322653450908,3.445977478235386,2.296854775623632
add10|huber2_cfg19|cap2500|et250|alpha4,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,0.3210286366520763,0.8314969991028065,0.2623408997569314,0.0,0.0,1302.1999999999998,0.6264364159606524,0.6264364159606524,0.39429879530854245,0.267717590617085
add10|huber2_cfg19|cap2500|et250|alpha4,aug_preflush,2025-08-17 08:10:00,2025-08-18 10:00:00,1.145,,0.29453642842045186,0.2947853397959241,0.23472505693853704,0.0,0.0,2664.3999999999996,4.759409716618534,3.614409716618534,1.266947311721499,0.8937851755301558
add10|huber2_cfg19|cap4000|et250|alpha4,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.5834174065757713,0.6356880175131173,0.5696302231710278,0.0,0.0,3906.5999999999995,1.5363668546416276,1.5363668546416276,1.4833295569739862,0.6179292737470353
add10|huber2_cfg19|cap4000|et250|alpha4,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,0.2306428979075476,0.5496856244392543,0.19396306234808203,0.0,0.0,1302.1999999999998,0.5922476148654975,0.5922476148654975,0.3804741449921737,0.2927204856122823
add10|huber2_cfg19|cap4000|et250|alpha4,aug_preflush,2025-08-17 08:10:00,2025-08-18 10:00:00,1.145,,0.2140852677627823,0.21424083737245242,0.17670316058658553,0.0,0.0,2664.3999999999996,4.253286361106957,3.108286361106957,1.1985563318711352,0.9419630786337251
add10|huber2_cfg19|cap4000|et250|alpha8,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.5834174065757713,0.6356880175131173,0.5696302231710278,0.0,0.0,7813.199999999999,3.072733709283255,3.072733709283255,2.9666591139479723,1.2358585474940706
add10|huber2_cfg19|cap4000|et250|alpha8,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,0.2306428979075476,0.5496856244392543,0.19396306234808203,0.0,0.0,2604.3999999999996,1.184495229730995,1.184495229730995,0.7609482899843474,0.5854409712245646
add10|huber2_cfg19|cap4000|et250|alpha8,aug_preflush,2025-08-17 08:10:00,2025-08-18 10:00:00,1.145,,0.2140852677627823,0.21424083737245242,0.17670316058658553,0.0,0.0,5328.799999999999,7.362404156618563,6.217404156618564,2.3971126637422704,1.8839261572674502
replace10|square_cfg39_aug|cap1200|et250|alpha4,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.22922823929976655,0.40346360909091966,0.18327096128395487,0.0,0.0,3906.5999999999995,8.068881372808965,8.0,6.7932140325387245,5.236017540673406
replace10|square_cfg39_aug|cap1200|et250|alpha4,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,0.5821429930251593,0.8645833538427111,0.4598768744936073,937.2424731457636,435.6581839206302,1302.1999999999998,0.8352210077335264,0.8352210077335264,0.4071192289106519,0.17011762247451004
replace10|square_cfg39_aug|cap1200|et250|alpha4,aug_preflush,2025-08-17 08:10:00,2025-08-18 10:00:00,1.145,,0.5269508925426084,0.5274694579081753,0.4023438686219523,0.0,0.0,2664.3999999999996,5.3532807690757,4.208280769075699,1.3328612738958905,0.630508835980973
replace10|square_cfg39_aug|cap1200|et250|alpha8,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.22922823929976655,0.40346360909091966,0.18327096128395487,0.0,0.0,7813.199999999999,12.0,8.0,12.0,9.249261128402802
replace10|square_cfg39_aug|cap1200|et250|alpha8,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,0.5821429930251593,0.8645833538427111,0.4598768744936073,937.2424731457636,871.3163678412604,2604.3999999999996,1.6704420154670527,1.6704420154670527,0.8142384578213038,0.3402352449490201
replace10|square_cfg39_aug|cap1200|et250|alpha8,aug_preflush,2025-08-17 08:10:00,2025-08-18 10:00:00,1.145,,0.5269508925426084,0.5274694579081753,0.4023438686219523,0.0,0.0,5328.799999999999,9.562687209665972,8.0,2.665722547791781,1.261017671961946
replace10|square_cfg39_aug|cap2500|et250|alpha4,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.3334678505212389,0.4171008280209924,0.31140835707364933,0.0,0.0,3906.5999999999995,3.7464322653450908,3.7464322653450908,3.445977478235386,2.296854775623632
replace10|square_cfg39_aug|cap2500|et250|alpha4,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,0.3210286366520763,0.8314969991028065,0.2623408997569314,0.0,0.0,1302.1999999999998,0.6264364159606524,0.6264364159606524,0.39429879530854245,0.267717590617085
replace10|square_cfg39_aug|cap2500|et250|alpha4,aug_preflush,2025-08-17 08:10:00,2025-08-18 10:00:00,1.145,,0.29453642842045186,0.2947853397959241,0.23472505693853704,0.0,0.0,2664.3999999999996,4.759409716618534,3.614409716618534,1.266947311721499,0.8937851755301558
replace10|square_cfg39_aug|cap4000|et250|alpha4,sep21_spike,2025-09-21 05:10:00,2025-09-21 07:20:00,,4.23,0.5834174065757713,0.6356880175131173,0.5696302231710278,0.0,0.0,3906.5999999999995,1.5363668546416276,1.5363668546416276,1.4833295569739862,0.6179292737470353
replace10|square_cfg39_aug|cap4000|et250|alpha4,aug_flush,2025-08-18 13:30:00,2025-08-19 15:30:00,,,0.2306428979075476,0.5496856244392543,0.19396306234808203,0.0,0.0,1302.1999999999998,0.5922476148654975,0.5922476148654975,0.3804741449921737,0.2927204856122823
replace10|square_cfg39_aug|cap4000|et250|alpha4,aug_preflush,2025-08-17 08:10:00,2025-08-18 10:00:00,1.145,,0.2140852677627823,0.21424083737245242,0.17670316058658553,0.0,0.0,2664.3999999999996,4.253286361106957,3.108286361106957,1.1985563318711352,0.9419630786337251
