feature_set,xgb_set,warmup,max_rows,train_mode,pred_mode,shock_weight,blend,wf_active,wf_ph_r2,wf_ec_r2,wf_min_r2,wf_ph_mae,wf_ec_mae,ho_active,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae
current_union,compact_d3,50,4,chem_event,salt_shock_strict,8.0,1.0,2,0.9103905183241433,0.963190934885548,0.9103905183241433,0.3144597236793911,0.12801813982430602,4,0.9059295234129636,0.6868727199111216,0.3539466787474306,0.31359203390203316
current_union,compact_d3,50,4,chem_event,salt_shock_strict,8.0,1.2,2,0.9098395100372085,0.9856178018767776,0.9098395100372085,0.31645859118641206,0.10887448676807783,4,0.8969474480566358,0.7224123194020073,0.36279674169543175,0.2884892072019613
current_union,compact_d3,50,4,chem_event,salt_shock_strict,8.0,0.8,2,0.9093569021827261,0.9294682696239803,0.9093569021827261,0.31997836916021166,0.14335887586740018,4,0.9141686782053204,0.6446388511832153,0.3450966157994294,0.33609015779505524
current_union,ph_d3,50,4,chem_event,salt_shock_strict,8.0,1.0,2,0.9052852189705963,0.9590460576272313,0.9052852189705963,0.3462045417606811,0.13952743950440646,4,0.9026929789582343,0.6855998018019254,0.3560391718046815,0.3143769114585956
current_union,ph_d3,50,4,chem_event,salt_shock_strict,8.0,1.2,2,0.9047928868931305,0.9810674278922035,0.9047928868931305,0.34776935197945147,0.12131986194300218,4,0.8974458168334041,0.712916270674918,0.36169650970847317,0.2910898884999006
current_union,ph_d3,50,4,chem_event,salt_shock_strict,8.0,0.8,2,0.9043531223846123,0.9267155378265345,0.9043531223846123,0.3512891299532511,0.15438967194904515,4,0.9076334415820132,0.6501491228505907,0.35038183390088984,0.3351394268563624
current_union,slow_d4,45,4,chem_event,salt_shock_strict,8.0,1.0,2,0.8577113127291648,0.9618251785657227,0.8577113127291648,0.38783696187725114,0.12944135771619153,4,0.910079395767007,0.6881889745671539,0.3380745850699098,0.30752290912590813
current_union,slow_d4,45,4,chem_event,salt_shock_strict,8.0,1.2,2,0.8571581667518868,0.9832904274425767,0.8571581667518868,0.3893471299149261,0.11309277431091454,4,0.9052177233770901,0.7213104450775911,0.34307630776037434,0.2827959508557396
current_union,slow_d4,45,4,chem_event,salt_shock_strict,8.0,0.8,2,0.856839181892278,0.930807296905902,0.856839181892278,0.3925919252345227,0.1427545565284155,4,0.9147131968751269,0.6478796470622143,0.3330728623794453,0.3296190931561318
current_union,ph_like,45,4,chem_event,salt_shock_strict,8.0,1.0,2,0.8549701668898435,0.9593069127839354,0.8549701668898435,0.37903295392002734,0.13148779682489647,4,0.8983803676738967,0.6867997439660525,0.3814684396879822,0.3144688573124249
current_union,ph_like,45,4,chem_event,salt_shock_strict,8.0,1.2,2,0.8545647874626007,0.9802969996788393,0.8545647874626007,0.3804340552832165,0.11633006235101803,4,0.8941146501966175,0.722733009601832,0.3857879790699199,0.28691324334890644
current_union,ph_like,45,4,chem_event,salt_shock_strict,8.0,0.8,2,0.8540387667994167,0.9294400620553515,0.8540387667994167,0.38367885060281304,0.14476269972182115,4,0.9024522682368196,0.6417772061624857,0.37714890030604453,0.3388344964853059
current_union,ph_d5,45,4,chem_event,salt_shock_strict,8.0,1.0,2,0.8509786015704002,0.960411834691013,0.8509786015704002,0.38934328956303477,0.1319448875064996,4,0.9068158610292387,0.6885535631425005,0.3466770001547486,0.31125200357459376
current_union,ph_d5,45,4,chem_event,salt_shock_strict,8.0,1.2,2,0.8505275567764893,0.981745230227998,0.8505275567764893,0.3907589379985749,0.11616909543038456,4,0.9025790737928443,0.7303447388733666,0.350724855669364,0.28276311193096426
current_union,ph_d5,45,4,chem_event,salt_shock_strict,8.0,0.8,2,0.8500767981756318,0.9296164762667182,0.8500767981756318,0.39400373331817146,0.14549023105415393,4,0.9108804576403661,0.6392258181181827,0.34262914464013317,0.33651352698024334
current_union,slow_d5,45,4,chem_event,salt_shock_strict,8.0,1.0,2,0.8497150562274081,0.9603855931725855,0.8497150562274081,0.3845884223195706,0.13160507019074374,4,0.9089072474307882,0.6874167372591227,0.34147214566637585,0.3100908056440194
current_union,slow_d5,45,4,chem_event,salt_shock_strict,8.0,1.2,2,0.8491683655929539,0.9813359658592725,0.8491683655929539,0.3860178964715616,0.11627653497024071,4,0.9047016393080388,0.7261785946952668,0.34567626074683827,0.28376153078093524
current_union,slow_d5,45,4,chem_event,salt_shock_strict,8.0,0.8,2,0.8488643072991174,0.9307369712498587,0.8488643072991174,0.38926269179115813,0.14460007578993073,4,0.91294633248409,0.6422476827998642,0.3372680305859134,0.3335626220711583
current_union,ph_morereg,45,4,chem_event,salt_shock_strict,8.0,1.0,2,0.8465663527951865,0.9610474493968273,0.8465663527951865,0.39848163040652684,0.13371663777400283,4,0.8977291212678249,0.6899970855870465,0.37394041119982313,0.3098740217300494
current_union,compact_d3,45,4,chem_event,salt_shock_strict,8.0,1.0,2,0.8464228918103165,0.961582054625926,0.8464228918103165,0.38499724573986416,0.12950667258174997,4,0.9059295234129636,0.6868727199111216,0.3539466787474306,0.31359203390203316
current_union,ph_morereg,45,4,chem_event,salt_shock_strict,8.0,1.2,2,0.846044080916418,0.9808842233788726,0.846044080916418,0.40037904735330276,0.12015166603306104,4,0.898146056477448,0.7404194198608436,0.37315299367421284,0.2818954899241549
current_union,compact_d3,45,4,chem_event,salt_shock_strict,8.0,1.2,2,0.845893302358739,0.9837310835834554,0.845893302358739,0.3868399517228991,0.11185861742053961,4,0.8969474480566358,0.7224123194020073,0.36279674169543175,0.2884892072019613
current_union,ph_morereg,45,4,chem_event,salt_shock_strict,8.0,0.8,2,0.8455488580999204,0.9340019244125713,0.8455488580999204,0.4036238426728993,0.14598462854345898,4,0.8972898138775056,0.62398207495152,0.3747278287254335,0.3430761970786498
current_union,compact_d3,45,4,chem_event,salt_shock_strict,8.0,0.8,2,0.8454294544728859,0.9282771668011746,0.8454294544728859,0.3900847470424957,0.14364891362147741,4,0.9141686782053204,0.6446388511832153,0.3450966157994294,0.33609015779505524
current_union,ph_lessreg,45,4,chem_event,salt_shock_strict,8.0,1.0,2,0.8430444566377056,0.9489451030727806,0.8430444566377056,0.4163151702524145,0.14355152615660505,4,0.8992862505694635,0.6809485120248701,0.36604675637651984,0.3234312221678336
current_union,ph_lessreg,45,4,chem_event,salt_shock_strict,8.0,1.2,2,0.8424996268889513,0.9703012323790955,0.8424996268889513,0.4179692987343462,0.1275052734913102,4,0.893503329161956,0.6974327614747842,0.37189327842165687,0.31096511005036886
current_union,ph_lessreg,45,4,chem_event,salt_shock_strict,8.0,0.8,2,0.8421228809340272,0.9181995446757926,0.8421228809340272,0.4212140940539427,0.15687260919946383,4,0.9047179133250849,0.6621868127460462,0.3602002343313829,0.3351156017142727
current_union,ph_d3,45,4,chem_event,salt_shock_strict,8.0,1.0,2,0.8373398737477397,0.9573480063271601,0.8373398737477397,0.4176892843290214,0.1406280254164822,4,0.9026929789582343,0.6855998018019254,0.3560391718046815,0.3143769114585956
current_union,ph_d3,45,4,chem_event,salt_shock_strict,8.0,1.2,2,0.8368666796396265,0.9790965621051064,0.8368666796396265,0.41913184374945023,0.12384291485206264,4,0.8974458168334041,0.712916270674918,0.36169650970847317,0.2910898884999006
current_union,ph_d3,45,4,chem_event,salt_shock_strict,8.0,0.8,2,0.8364440096899876,0.9254180171959255,0.8364440096899876,0.42237663906904677,0.15432914595138353,4,0.9076334415820132,0.6501491228505907,0.35038183390088984,0.3351394268563624
