run,train_start,train_end,test_start,test_end,train_rows,test_rows,mae_internal_rh_pct,rmse_internal_rh_pct,r2_internal_rh_pct
52,2025-05-29 01:00:00,2025-07-30 01:20:00,2025-07-30 01:30:00,2025-07-31 01:20:00,8928,144,2.0936664152086046,2.5927597412231105,0.9366702268021855
53,2025-05-29 01:00:00,2025-07-31 01:20:00,2025-07-31 01:30:00,2025-08-01 01:30:00,9072,144,1.3167027541113963,1.7266844457382278,0.9648200909880478
54,2025-05-29 01:00:00,2025-08-01 01:30:00,2025-08-01 01:40:00,2025-08-02 02:40:00,9216,144,1.2525842697279184,1.6197380619768833,0.9666970834105008
55,2025-05-29 01:00:00,2025-08-02 02:40:00,2025-08-02 02:50:00,2025-08-03 02:40:00,9360,144,1.3467034155968558,1.7394069786991058,0.9650043643203872
56,2025-05-29 01:00:00,2025-08-03 02:40:00,2025-08-03 02:50:00,2025-08-04 02:40:00,9504,144,1.2760852549862332,1.6218414387301694,0.9690711703213805
57,2025-05-29 01:00:00,2025-08-04 02:40:00,2025-08-04 02:50:00,2025-08-05 02:40:00,9648,144,1.4142158080512155,1.838891344567849,0.9476254069131653
58,2025-05-29 01:00:00,2025-08-05 02:40:00,2025-08-05 02:50:00,2025-08-06 02:40:00,9792,144,1.2780376232723656,1.7105998453062425,0.9585179705401893
59,2025-05-29 01:00:00,2025-08-06 02:40:00,2025-08-06 02:50:00,2025-08-07 02:40:00,9936,144,1.245660862865872,1.516725025068464,0.9686488200384467
60,2025-05-29 01:00:00,2025-08-07 02:40:00,2025-08-07 02:50:00,2025-08-08 02:40:00,10080,144,1.1548868163723414,1.4649406826584335,0.9806104855521521
61,2025-05-29 01:00:00,2025-08-08 02:40:00,2025-08-08 02:50:00,2025-08-09 02:40:00,10224,144,1.9787225890112983,2.500387853044586,0.941217552240179
62,2025-05-29 01:00:00,2025-08-09 02:40:00,2025-08-09 02:50:00,2025-08-10 02:40:00,10368,144,1.1509430684625104,1.4252784325209027,0.9760514445187924
63,2025-05-29 01:00:00,2025-08-10 02:40:00,2025-08-10 02:50:00,2025-08-11 02:40:00,10512,144,6.101114249550876,9.203519150594891,0.5614881506415618
64,2025-05-29 01:00:00,2025-08-11 02:40:00,2025-08-11 02:50:00,2025-08-12 02:40:00,10656,144,3.776522480195778,4.927033576925692,0.8952734576856818
65,2025-05-29 01:00:00,2025-08-12 02:40:00,2025-08-12 02:50:00,2025-08-13 02:40:00,10800,144,7.99315298256343,9.281372662798562,0.23463478535515736
66,2025-05-29 01:00:00,2025-08-13 02:40:00,2025-08-13 02:50:00,2025-08-14 02:40:00,10944,144,2.900228138457485,4.115121420875958,0.8747091799424148
67,2025-05-29 01:00:00,2025-08-14 02:40:00,2025-08-14 02:50:00,2025-08-15 02:40:00,11088,144,2.62232331016542,3.665005153697823,0.9334934802668843
68,2025-05-29 01:00:00,2025-08-15 02:40:00,2025-08-15 02:50:00,2025-08-16 02:40:00,11232,144,3.2761384050883344,4.03986828146726,0.9339584754385133
69,2025-05-29 01:00:00,2025-08-16 02:40:00,2025-08-16 02:50:00,2025-08-17 02:40:00,11376,144,2.293458279374791,2.8876565922929887,0.8670111815477506
70,2025-05-29 01:00:00,2025-08-17 02:40:00,2025-08-17 02:50:00,2025-08-18 02:40:00,11520,144,4.5305945014646944,5.414111384124117,0.7372386105685695
71,2025-05-29 01:00:00,2025-08-18 02:40:00,2025-08-18 02:50:00,2025-08-19 02:40:00,11664,144,3.0636107929991656,3.962762958580452,0.8663623831406073
72,2025-05-29 01:00:00,2025-08-19 02:40:00,2025-08-19 02:50:00,2025-08-20 02:40:00,11808,144,1.7611853879899746,2.3166039314440234,0.9448418725577651
73,2025-05-29 01:00:00,2025-08-20 02:40:00,2025-08-20 02:50:00,2025-08-21 02:40:00,11952,144,1.7090280035881937,2.275085860182037,0.9576387128841567
74,2025-05-29 01:00:00,2025-08-21 02:40:00,2025-08-21 02:50:00,2025-08-22 02:40:00,12096,144,2.175583619848261,2.654338517560621,0.9519128414184157
75,2025-05-29 01:00:00,2025-08-22 02:40:00,2025-08-22 02:50:00,2025-08-23 02:40:00,12240,144,2.067879485212156,2.636738328907479,0.9413959421307515
76,2025-05-29 01:00:00,2025-08-23 02:40:00,2025-08-23 02:50:00,2025-08-24 02:40:00,12384,144,2.994274737946798,3.6799840353086175,0.8257956099344702
77,2025-05-29 01:00:00,2025-08-24 02:40:00,2025-08-24 02:50:00,2025-08-25 02:40:00,12528,144,1.8594460487111246,2.329400988077559,0.940056338358726
78,2025-05-29 01:00:00,2025-08-25 02:40:00,2025-08-25 02:50:00,2025-08-26 02:40:00,12672,144,3.034265383869501,3.6197273585379794,0.7998822426225741
79,2025-05-29 01:00:00,2025-08-26 02:40:00,2025-08-26 02:50:00,2025-08-27 02:40:00,12816,144,2.4600858756629993,3.514158697824015,0.8548011217714113
80,2025-05-29 01:00:00,2025-08-27 02:40:00,2025-08-27 02:50:00,2025-08-28 07:50:00,12960,144,2.9116944136096503,3.6510575595704498,0.7115703770417896
81,2025-05-29 01:00:00,2025-08-28 07:50:00,2025-08-28 11:10:00,2025-08-29 11:00:00,13104,144,3.165365967842178,4.224759846977919,0.6070272511112941
82,2025-05-29 01:00:00,2025-08-29 11:00:00,2025-08-29 11:10:00,2025-08-30 11:00:00,13248,144,2.7774176248357225,3.6368317808410606,0.8431994290622761
83,2025-05-29 01:00:00,2025-08-30 11:00:00,2025-08-30 11:10:00,2025-08-31 11:00:00,13392,144,2.9629319724049674,4.176643003789559,0.7965721802712374
84,2025-05-29 01:00:00,2025-08-31 11:00:00,2025-08-31 11:10:00,2025-09-01 11:00:00,13536,144,3.8989671390760035,4.791638812740752,0.738638100549827
85,2025-05-29 01:00:00,2025-09-01 11:00:00,2025-09-01 11:10:00,2025-09-02 11:00:00,13680,144,1.9023343637234167,2.361765672375387,0.9412877240411064
86,2025-05-29 01:00:00,2025-09-02 11:00:00,2025-09-02 11:10:00,2025-09-03 11:00:00,13824,144,1.423565473509075,1.797322054003833,0.9658535315462067
87,2025-05-29 01:00:00,2025-09-03 11:00:00,2025-09-03 11:10:00,2025-09-04 11:00:00,13968,144,1.4836634207246442,2.0113834500827754,0.9555286451970482
88,2025-05-29 01:00:00,2025-09-04 11:00:00,2025-09-04 11:10:00,2025-09-05 11:00:00,14112,144,2.100803392124678,2.642161458689875,0.907851324873005
89,2025-05-29 01:00:00,2025-09-05 11:00:00,2025-09-05 11:10:00,2025-09-06 11:00:00,14256,144,1.6075599115957018,2.5075975228111616,0.9429103062684168
90,2025-05-29 01:00:00,2025-09-06 11:00:00,2025-09-06 11:10:00,2025-09-07 11:00:00,14400,144,1.439431208831967,2.4998533900677997,0.9078037204441524
91,2025-05-29 01:00:00,2025-09-07 11:00:00,2025-09-07 11:10:00,2025-09-08 11:00:00,14544,144,1.9145158717830375,2.4403053555996936,0.9003904542834231
92,2025-05-29 01:00:00,2025-09-08 11:00:00,2025-09-08 11:10:00,2025-09-09 11:00:00,14688,144,2.1072084188711067,2.785130386009007,0.9007309633431553
93,2025-05-29 01:00:00,2025-09-09 11:00:00,2025-09-09 11:10:00,2025-09-10 11:00:00,14832,144,1.4044938176939366,1.7935312703592705,0.9579346193281917
94,2025-05-29 01:00:00,2025-09-10 11:00:00,2025-09-10 11:10:00,2025-09-11 14:10:00,14976,144,2.9640488838526715,4.433765593572014,0.7156178937980076
95,2025-05-29 01:00:00,2025-09-11 14:10:00,2025-09-11 14:20:00,2025-09-12 14:10:00,15120,144,4.596606800818818,7.471039284397545,0.7140481247718113
96,2025-05-29 01:00:00,2025-09-12 14:10:00,2025-09-12 14:20:00,2025-09-13 14:10:00,15264,144,2.924090987603903,3.6577206991756146,0.9266743783544992
97,2025-05-29 01:00:00,2025-09-13 14:10:00,2025-09-13 14:20:00,2025-09-14 14:10:00,15408,144,1.747410680488156,2.242885205507083,0.9738946163649174
98,2025-05-29 01:00:00,2025-09-14 14:10:00,2025-09-14 14:20:00,2025-09-15 14:10:00,15552,144,1.667470218740937,2.2582631771868806,0.947355862997947
99,2025-05-29 01:00:00,2025-09-15 14:10:00,2025-09-15 14:20:00,2025-09-16 14:10:00,15696,144,1.837679112882725,2.3095897809267787,0.9520065887225697
100,2025-05-29 01:00:00,2025-09-16 14:10:00,2025-09-16 14:20:00,2025-09-17 14:10:00,15840,144,2.5479048707997682,3.080204561642051,0.9376502429412741
101,2025-05-29 01:00:00,2025-09-17 14:10:00,2025-09-17 14:20:00,2025-09-18 17:20:00,15984,144,4.719003681208548,5.432934402851299,0.7415851035854095
102,2025-05-29 01:00:00,2025-09-18 17:20:00,2025-09-18 17:30:00,2025-09-19 17:20:00,16128,144,2.2804642048023123,3.9345859849493623,0.8159815632004774
103,2025-05-29 01:00:00,2025-09-19 17:20:00,2025-09-19 17:30:00,2025-09-20 17:20:00,16272,144,5.130407097730849,7.384470169009053,0.41445619213213647
104,2025-05-29 01:00:00,2025-09-20 17:20:00,2025-09-20 17:30:00,2025-09-21 17:20:00,16416,144,3.635071440073649,4.9193618114274305,0.8424985624155769
